"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","736","Login - Valid Credentials","Assurdly | Government APIs","Fri Apr 11 11:30:47 GMT 2025","passed","Fri Apr 11 11:30:48 GMT 2025","Login","Authentication","",""
"","236","Get Tooltips","Assurdly | Government APIs","Fri Apr 11 11:30:50 GMT 2025","passed","Fri Apr 11 11:30:51 GMT 2025","Analysis > Get Tooltips","Event","",""
"","324","Get UOM Preference","Assurdly | Government APIs","Fri Apr 11 11:30:49 GMT 2025","passed","Fri Apr 11 11:30:50 GMT 2025","Preference > Fetch UOM Preference","Home","",""
"","236","Get Preference - Get Labels -","Assurdly | Government APIs","Fri Apr 11 11:30:52 GMT 2025","failed","Fri Apr 11 11:30:52 GMT 2025","Analysis > Get Preference","Event","",""
"","207","Login - Invalid Credentials","Assurdly | Government APIs","Fri Apr 11 11:30:48 GMT 2025","passed","Fri Apr 11 11:30:48 GMT 2025","Login","Authentication","",""
"","272","Get Sites","Assurdly | Government APIs","Fri Apr 11 11:30:50 GMT 2025","passed","Fri Apr 11 11:30:50 GMT 2025","Analysis > Get Sites","Event","",""
"","15","New Request Copy","Assurdly | Government APIs","Fri Apr 11 11:30:48 GMT 2025","broken","Fri Apr 11 11:30:48 GMT 2025","Token","Authentication","",""
"","129","Token","Assurdly | Government APIs","Fri Apr 11 11:30:48 GMT 2025","passed","Fri Apr 11 11:30:48 GMT 2025","Token","Authentication","",""
"","242","Get Analysis Manufacturers","Assurdly | Government APIs","Fri Apr 11 11:30:52 GMT 2025","passed","Fri Apr 11 11:30:53 GMT 2025","Analysis Manufactureres","Event","",""
"","14","New Request","Assurdly | Government APIs","Fri Apr 11 11:30:48 GMT 2025","broken","Fri Apr 11 11:30:48 GMT 2025","Token","Authentication","",""
"","332","Participant Details","Assurdly | Government APIs","Fri Apr 11 11:30:49 GMT 2025","passed","Fri Apr 11 11:30:49 GMT 2025","Participant","Home","",""
"","134","Login - Invalid Credentials - Missing Password","Assurdly | Government APIs","Fri Apr 11 11:30:48 GMT 2025","failed","Fri Apr 11 11:30:48 GMT 2025","Login","Authentication","",""
"","243","Creating Analysis Event - Empty Fields","Assurdly | Government APIs","Fri Apr 11 11:30:54 GMT 2025","passed","Fri Apr 11 11:30:54 GMT 2025","Single Event","Event","",""
"","331","Tour Status","Assurdly | Government APIs","Fri Apr 11 11:30:49 GMT 2025","passed","Fri Apr 11 11:30:49 GMT 2025","Tour","Home","",""
"","239","Get Analysis Manufacturers","Assurdly | Government APIs","Fri Apr 11 11:30:53 GMT 2025","passed","Fri Apr 11 11:30:53 GMT 2025","Analysis Manufacturers","Event","",""
"","239","Get Analysis Product Ids","Assurdly | Government APIs","Fri Apr 11 11:30:53 GMT 2025","passed","Fri Apr 11 11:30:53 GMT 2025","Analysis Product Ids","Event","",""
"","238","Get Preference","Assurdly | Government APIs","Fri Apr 11 11:30:51 GMT 2025","passed","Fri Apr 11 11:30:52 GMT 2025","Analysis > Get Preference","Event","",""
"","235","Get Analysis Product Ids - Empty Fields","Assurdly | Government APIs","Fri Apr 11 11:30:53 GMT 2025","passed","Fri Apr 11 11:30:53 GMT 2025","Analysis Product Ids","Event","",""
"","234","Get Analysis Manufacturers - No Auth","Assurdly | Government APIs","Fri Apr 11 11:30:54 GMT 2025","passed","Fri Apr 11 11:30:54 GMT 2025","Analysis Manufacturers","Event","",""
