"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","285","Single event","Assurdly | Receiver API","Sun Apr 13 12:12:36 GMT 2025","passed","Sun Apr 13 12:12:36 GMT 2025","Single Event","Receiving Event","",""
"","128","Read Notification - Invalid Notification id","Assurdly | Receiver API","Sun Apr 13 12:12:25 GMT 2025","failed","Sun Apr 13 12:12:25 GMT 2025","Notification","Home","",""
"","215","Get trading partner -No auth","Assurdly | Receiver API","Sun Apr 13 12:12:32 GMT 2025","passed","Sun Apr 13 12:12:32 GMT 2025","Receiving > Get Trading Partner","Receiving Event","",""
"","219","Get producer record receiving","Assurdly | Receiver API","Sun Apr 13 12:12:35 GMT 2025","passed","Sun Apr 13 12:12:35 GMT 2025","Receiving > Get Producer Record Receiving","Receiving Event","",""
"","214","Get producer record receiving - No auth","Assurdly | Receiver API","Sun Apr 13 12:12:35 GMT 2025","passed","Sun Apr 13 12:12:35 GMT 2025","Receiving > Get Producer Record Receiving","Receiving Event","",""
"","129","Get Product Instance Shared With Government Stats","Assurdly | Receiver API","Sun Apr 13 12:12:31 GMT 2025","broken","Sun Apr 13 12:12:31 GMT 2025","","Shared With Government","",""
"","219","Get trading partner","Assurdly | Receiver API","Sun Apr 13 12:12:32 GMT 2025","passed","Sun Apr 13 12:12:32 GMT 2025","Receiving > Get Trading Partner","Receiving Event","",""
"","474","Get Product Instance Graph Invalid Request (missing or incomplete field)","Assurdly | Receiver API","Sun Apr 13 12:12:30 GMT 2025","failed","Sun Apr 13 12:12:30 GMT 2025","","Product Instances","",""
"","131","Tour Status","Assurdly | Receiver API","Sun Apr 13 12:12:25 GMT 2025","passed","Sun Apr 13 12:12:26 GMT 2025","Tour","Home","",""
"","213","Single event -No auth","Assurdly | Receiver API","Sun Apr 13 12:12:36 GMT 2025","passed","Sun Apr 13 12:12:36 GMT 2025","Single Event","Receiving Event","",""
"","229","Get uom Preference","Assurdly | Receiver API","Sun Apr 13 12:12:26 GMT 2025","failed","Sun Apr 13 12:12:26 GMT 2025","Preference","Home","",""
"","214","Get tooltip - No auth","Assurdly | Receiver API","Sun Apr 13 12:12:33 GMT 2025","passed","Sun Apr 13 12:12:33 GMT 2025","Receiving > Get Tooltips","Receiving Event","",""
"","212","Get label - No auth","Assurdly | Receiver API","Sun Apr 13 12:12:34 GMT 2025","passed","Sun Apr 13 12:12:34 GMT 2025","Receiving > Get Labels","Receiving Event","",""
"","125","Login - Invalid Credentials - Missing Password","Assurdly | Receiver API","Sun Apr 13 12:12:24 GMT 2025","failed","Sun Apr 13 12:12:24 GMT 2025","Login","Authentication","",""
"","132","Read Notification","Assurdly | Receiver API","Sun Apr 13 12:12:25 GMT 2025","passed","Sun Apr 13 12:12:25 GMT 2025","Notification","Home","",""
"","227","Total Events Count - Empty Fields","Assurdly | Receiver API","Sun Apr 13 12:12:29 GMT 2025","failed","Sun Apr 13 12:12:29 GMT 2025","","Events Records","",""
"","273","Get Product Instance Shared with Government - Invalid Request (missing or incomplete field)","Assurdly | Receiver API","Sun Apr 13 12:12:31 GMT 2025","failed","Sun Apr 13 12:12:31 GMT 2025","","Shared With Government","",""
"","504","Get Product Instance Shared With Government Stats - Invalid Request (missing or incomplete field)","Assurdly | Receiver API","Sun Apr 13 12:12:31 GMT 2025","failed","Sun Apr 13 12:12:31 GMT 2025","","Shared With Government","",""
"","250","Get Product Instance","Assurdly | Receiver API","Sun Apr 13 12:12:29 GMT 2025","passed","Sun Apr 13 12:12:29 GMT 2025","","Product Instances","",""
"","216","Get tooltip","Assurdly | Receiver API","Sun Apr 13 12:12:32 GMT 2025","passed","Sun Apr 13 12:12:33 GMT 2025","Receiving > Get Tooltips","Receiving Event","",""
"","480","Dashboard Filter - Empty Required Fields","Assurdly | Receiver API","Sun Apr 13 12:12:27 GMT 2025","failed","Sun Apr 13 12:12:27 GMT 2025","Stats","Dashboard","",""
"","232","Set uom Preference - Empty Value","Assurdly | Receiver API","Sun Apr 13 12:12:26 GMT 2025","failed","Sun Apr 13 12:12:26 GMT 2025","Preference","Home","",""
"","298","Get sites","Assurdly | Receiver API","Sun Apr 13 12:12:31 GMT 2025","passed","Sun Apr 13 12:12:32 GMT 2025","Receiving > Get Sites","Receiving Event","",""
"","231","Set uom Preference","Assurdly | Receiver API","Sun Apr 13 12:12:26 GMT 2025","passed","Sun Apr 13 12:12:26 GMT 2025","Preference","Home","",""
"","733","Login - Valid Credentials","Assurdly | Receiver API","Sun Apr 13 12:12:23 GMT 2025","passed","Sun Apr 13 12:12:24 GMT 2025","Login","Authentication","",""
"","213","get config types -No auth","Assurdly | Receiver API","Sun Apr 13 12:12:33 GMT 2025","passed","Sun Apr 13 12:12:33 GMT 2025","Receiving > Config Type","Receiving Event","",""
"","218","Get Labels - Empty Fields Copy","Assurdly | Receiver API","Sun Apr 13 12:12:34 GMT 2025","failed","Sun Apr 13 12:12:35 GMT 2025","Receiving > Get Labels","Receiving Event","",""
"","251","Get Product Instance - Invalid Request (missing or incomplete field)","Assurdly | Receiver API","Sun Apr 13 12:12:29 GMT 2025","failed","Sun Apr 13 12:12:29 GMT 2025","","Product Instances","",""
"### Get Producer Total Events

This API endpoint is used to retrieve total events for a specific producer from the dashboard.

#### Request Body

- `request_type` (string, optional): Type of request.
    
- `product_type` (string, optional): Type of product.
    
- `fqs_type` (string): Type of FQS.
    
- `from_date` (string): Start date for the event search.
    
- `to_date` (string): End date for the event search.
    
- `product_category` (string, optional): Category of the product.
    

#### Response Body

The response is in JSON format and follows the schema below:

``` json
{
  ""Data"": [
    {
      ""event_id"": """",
      ""events_comments"": [
        {
          ""_id"": """",
          ""event_id"": """",
          ""comments"": """",
          ""user_name"": """",
          ""timestamp"": """"
        }
      ],
      ""event_type"": """",
      ""event_location"": {
        ""id"": """",
        ""name"": """"
      },
      ""trading_partner"": {
        ""id"": """",
        ""name"": """"
      },
      ""activity"": {
        ""type"": """",
        ""no"": """"
      },
      ""data_capture_time"": """",
      ""batches"": [
        {
          ""type"": """",
          ""manufacturer"": {
            ""id"": """",
            ""type"": """"
          },
          ""product"": {
            ""id"": """",
            ""type"": """"
          },
          ""product_instance"": {
            ""id"": """",
            ""type"": """"
          }
        }
      ]
    }
  ],
  ""Filters"": {
    ""manufacturer"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""tradPartner"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""eventLocation"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""productId"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""activityType"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""activityNumber"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""prodInstance"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ]
  }
}

 ```","632","Total Event - Empty Fields","Assurdly | Receiver API","Sun Apr 13 12:12:28 GMT 2025","failed","Sun Apr 13 12:12:28 GMT 2025","","Events Records","",""
"","221","Get Preference - Empty Fields","Assurdly | Receiver API","Sun Apr 13 12:12:34 GMT 2025","failed","Sun Apr 13 12:12:34 GMT 2025","Receiving > Get Preference","Receiving Event","",""
"","225","get config types","Assurdly | Receiver API","Sun Apr 13 12:12:33 GMT 2025","passed","Sun Apr 13 12:12:33 GMT 2025","Receiving > Config Type","Receiving Event","",""
"","275","Total Event","Assurdly | Receiver API","Sun Apr 13 12:12:27 GMT 2025","passed","Sun Apr 13 12:12:28 GMT 2025","","Events Records","",""
"","219","get preference","Assurdly | Receiver API","Sun Apr 13 12:12:33 GMT 2025","passed","Sun Apr 13 12:12:33 GMT 2025","Receiving > Get Preference","Receiving Event","",""
