"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1538","Get Dashboard Statistics Empty Field","Assurdly | Producer API","Sun Apr 13 20:10:21 GMT 2025","passed","Sun Apr 13 20:10:23 GMT 2025","Overview > Stats","Dashboard","",""
"","357","Get uom Preference","Assurdly | Producer API","Sun Apr 13 20:10:18 GMT 2025","failed","Sun Apr 13 20:10:19 GMT 2025","Preference","Home","",""
"","348","Get product brand category","Assurdly | Producer API","Sun Apr 13 20:10:29 GMT 2025","passed","Sun Apr 13 20:10:29 GMT 2025","Transformation > Get Product Brand Category","Transformation Event","",""
"","545","Get Product Instance Shared Government","Assurdly | Producer API","Sun Apr 13 20:10:24 GMT 2025","passed","Sun Apr 13 20:10:24 GMT 2025","","Shared With Government","",""
"","350","Get Sites","Assurdly | Producer API","Sun Apr 13 20:10:34 GMT 2025","passed","Sun Apr 13 20:10:34 GMT 2025","Analysis > Get Sites","Analysis Event","",""
"","397","Get FQS","Assurdly | Producer API","Sun Apr 13 20:10:41 GMT 2025","passed","Sun Apr 13 20:10:41 GMT 2025","","FQS","",""
"","348","Get FQS Invalid Field","Assurdly | Producer API","Sun Apr 13 20:10:41 GMT 2025","failed","Sun Apr 13 20:10:42 GMT 2025","","FQS","",""
"","345","Get Total Event","Assurdly | Producer API","Sun Apr 13 20:10:32 GMT 2025","failed","Sun Apr 13 20:10:33 GMT 2025","","Events","",""
"","350","Get Preference - Get Labels -","Assurdly | Producer API","Sun Apr 13 20:10:35 GMT 2025","failed","Sun Apr 13 20:10:35 GMT 2025","Analysis > Get Preference","Analysis Event","",""
"","348","Get Labels","Assurdly | Producer API","Sun Apr 13 20:10:36 GMT 2025","passed","Sun Apr 13 20:10:36 GMT 2025","Analysis > Get Labels (for Frontend Field Display)","Analysis Event","",""
"","358","Get Analysis Product Ids","Assurdly | Producer API","Sun Apr 13 20:10:38 GMT 2025","passed","Sun Apr 13 20:10:38 GMT 2025","Analysis Product Ids","Analysis Event","",""
"","355","Read Notification - Invalid Notification id","Assurdly | Producer API","Sun Apr 13 20:10:17 GMT 2025","failed","Sun Apr 13 20:10:18 GMT 2025","Notification","Home","",""
"","351","Get Analysis Manufacturers","Assurdly | Producer API","Sun Apr 13 20:10:39 GMT 2025","passed","Sun Apr 13 20:10:39 GMT 2025","Analysis Manufacturers","Analysis Event","",""
"","371","Get Product Instance Shared Government Copy","Assurdly | Producer API","Sun Apr 13 20:10:24 GMT 2025","passed","Sun Apr 13 20:10:25 GMT 2025","","Shared With Government","",""
