"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","259","Get Product Instance Invalid Field","Assurdly | Producer API","Sun Apr 20 20:11:01 GMT 2025","failed","Sun Apr 20 20:11:01 GMT 2025","","Product Instances","",""
"","352","Get Share FQS - No auth","Assurdly | Producer API","Sun Apr 20 20:11:10 GMT 2025","passed","Sun Apr 20 20:11:10 GMT 2025","","FQS","",""
"","280","Get Product Instance Shared Government Copy","Assurdly | Producer API","Sun Apr 20 20:10:56 GMT 2025","passed","Sun Apr 20 20:10:56 GMT 2025","","Shared With Government","",""
"","294","Get Dashboard Filter","Assurdly | Producer API","Sun Apr 20 20:10:54 GMT 2025","passed","Sun Apr 20 20:10:55 GMT 2025","Overview > Stats","Dashboard","",""
"","1746","Get Dashboard Statistics","Assurdly | Producer API","Sun Apr 20 20:10:51 GMT 2025","passed","Sun Apr 20 20:10:53 GMT 2025","Overview > Stats","Dashboard","",""
"","278","Participant Details","Assurdly | Producer API","Sun Apr 20 20:10:49 GMT 2025","passed","Sun Apr 20 20:10:49 GMT 2025","participant","Home","",""
"","257","Get Analysis Manufacturers","Assurdly | Producer API","Sun Apr 20 20:11:07 GMT 2025","passed","Sun Apr 20 20:11:07 GMT 2025","Analysis Instance Ids","Analysis Event","",""
"","252","Get manufacturers","Assurdly | Producer API","Sun Apr 20 20:10:59 GMT 2025","passed","Sun Apr 20 20:11:00 GMT 2025","Transformation > Get Manufacturer","Transformation Event","",""
"","392","Notifications","Assurdly | Producer API","Sun Apr 20 20:10:49 GMT 2025","failed","Sun Apr 20 20:10:50 GMT 2025","Notification","Home","",""
"","328","Get FQS","Assurdly | Producer API","Sun Apr 20 20:11:08 GMT 2025","passed","Sun Apr 20 20:11:09 GMT 2025","","FQS","",""
"","281","Get Product Shared Government Count Empty Field","Assurdly | Producer API","Sun Apr 20 20:10:55 GMT 2025","passed","Sun Apr 20 20:10:55 GMT 2025","","Shared With Government","",""
"","348","Get Product Instance Graph","Assurdly | Producer API","Sun Apr 20 20:11:01 GMT 2025","passed","Sun Apr 20 20:11:02 GMT 2025","","Product Instances","",""
"","261","Get Tooltips","Assurdly | Producer API","Sun Apr 20 20:11:04 GMT 2025","passed","Sun Apr 20 20:11:04 GMT 2025","Analysis > Get Tooltips","Analysis Event","",""
"","253","Get Tooltips","Assurdly | Producer API","Sun Apr 20 20:10:57 GMT 2025","passed","Sun Apr 20 20:10:57 GMT 2025","Transformation > Get Tooltips","Transformation Event","",""
"","254","Get all config types","Assurdly | Producer API","Sun Apr 20 20:10:56 GMT 2025","passed","Sun Apr 20 20:10:57 GMT 2025","Transformation > Config Types","Transformation Event","",""
"","249","Get Company Type","Assurdly | Producer API","Sun Apr 20 20:11:05 GMT 2025","passed","Sun Apr 20 20:11:05 GMT 2025","Analysis > Get Company Type","Analysis Event","",""
"","253","Get product brand category","Assurdly | Producer API","Sun Apr 20 20:10:59 GMT 2025","passed","Sun Apr 20 20:10:59 GMT 2025","Transformation > Get Product Brand Category","Transformation Event","",""
"","451","Get Product Instance Shared Government","Assurdly | Producer API","Sun Apr 20 20:10:55 GMT 2025","passed","Sun Apr 20 20:10:56 GMT 2025","","Shared With Government","",""
