"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","366","Total Events Count - Empty Fields","Assurdly | Government APIs","Sun Apr 20 20:09:28 GMT 2025","failed","Sun Apr 20 20:09:28 GMT 2025","","Events Records","",""
"","357","Get Analysis Manufacturers","Assurdly | Government APIs","Sun Apr 20 20:09:24 GMT 2025","passed","Sun Apr 20 20:09:24 GMT 2025","Analysis Manufacturers","Analysis Event","",""
"","271","Login - Invalid Credentials","Assurdly | Government APIs","Sun Apr 20 20:09:11 GMT 2025","passed","Sun Apr 20 20:09:12 GMT 2025","Login","Authentication","",""
"","503","Site Overview - No auth","Assurdly | Government APIs","Sun Apr 20 20:09:18 GMT 2025","passed","Sun Apr 20 20:09:19 GMT 2025","","Site Overview","",""
"","312","Notifications","Assurdly | Government APIs","Sun Apr 20 20:09:12 GMT 2025","failed","Sun Apr 20 20:09:12 GMT 2025","Notification","Home","",""
"","364","Dashboard Filter","Assurdly | Government APIs","Sun Apr 20 20:09:14 GMT 2025","failed","Sun Apr 20 20:09:15 GMT 2025","Stats","Dashboard","",""
"","361","Get Preference","Assurdly | Government APIs","Sun Apr 20 20:09:20 GMT 2025","passed","Sun Apr 20 20:09:20 GMT 2025","Analysis > Get Preference","Analysis Event","",""
"","363","Dashboard Filter - Empty Required Fields","Assurdly | Government APIs","Sun Apr 20 20:09:15 GMT 2025","failed","Sun Apr 20 20:09:15 GMT 2025","Stats","Dashboard","",""
"","362","Get all config types","Assurdly | Government APIs","Sun Apr 20 20:09:19 GMT 2025","passed","Sun Apr 20 20:09:20 GMT 2025","Analysis > Config Types","Analysis Event","",""
"","189","Login - Invalid Credentials - Missing Password","Assurdly | Government APIs","Sun Apr 20 20:09:12 GMT 2025","failed","Sun Apr 20 20:09:12 GMT 2025","Login","Authentication","",""
"","206","Read Notification","Assurdly | Government APIs","Sun Apr 20 20:09:12 GMT 2025","passed","Sun Apr 20 20:09:13 GMT 2025","Notification","Home","",""
"","358","Get Preference - Empty Fields","Assurdly | Government APIs","Sun Apr 20 20:09:20 GMT 2025","failed","Sun Apr 20 20:09:20 GMT 2025","Analysis > Get Preference","Analysis Event","",""
"","358","Get Labels - Case Sensitive Event Type","Assurdly | Government APIs","Sun Apr 20 20:09:22 GMT 2025","failed","Sun Apr 20 20:09:22 GMT 2025","Analysis > Get Labels (for Frontend Field Display)","Analysis Event","",""
"","370","Creating Analysis Event - Invalid Fields","Assurdly | Government APIs","Sun Apr 20 20:09:26 GMT 2025","passed","Sun Apr 20 20:09:26 GMT 2025","Single Event","Analysis Event","",""
"","192","Login - Invalid Credentials - Missing Email","Assurdly | Government APIs","Sun Apr 20 20:09:12 GMT 2025","passed","Sun Apr 20 20:09:12 GMT 2025","Login","Authentication","",""
"","368","Set Preference","Assurdly | Government APIs","Sun Apr 20 20:09:14 GMT 2025","passed","Sun Apr 20 20:09:14 GMT 2025","Preference > Set UOM Preference","Home","",""
"","367","Set uom Preference - Empty Value","Assurdly | Government APIs","Sun Apr 20 20:09:14 GMT 2025","passed","Sun Apr 20 20:09:14 GMT 2025","Preference > Set UOM Preference","Home","",""
"","362","Total Events Count","Assurdly | Government APIs","Sun Apr 20 20:09:27 GMT 2025","passed","Sun Apr 20 20:09:28 GMT 2025","","Events Records","",""
"","410","Total Event","Assurdly | Government APIs","Sun Apr 20 20:09:26 GMT 2025","passed","Sun Apr 20 20:09:27 GMT 2025","","Events Records","",""
"","364","Get Analysis Manufacturers","Assurdly | Government APIs","Sun Apr 20 20:09:25 GMT 2025","passed","Sun Apr 20 20:09:25 GMT 2025","Analysis Instance Ids","Analysis Event","",""
"","364","Creating Analysis Event","Assurdly | Government APIs","Sun Apr 20 20:09:25 GMT 2025","failed","Sun Apr 20 20:09:26 GMT 2025","Single Event","Analysis Event","",""
"","506","Get Product Instance List  - No Auth","Assurdly | Government APIs","Sun Apr 20 20:09:17 GMT 2025","passed","Sun Apr 20 20:09:18 GMT 2025","","Product Instances","",""
"","416","Get Producer Activity","Assurdly | Government APIs","Sun Apr 20 20:09:16 GMT 2025","passed","Sun Apr 20 20:09:16 GMT 2025","","Participant Activity","",""
"","360","Get Tooltips","Assurdly | Government APIs","Sun Apr 20 20:09:21 GMT 2025","passed","Sun Apr 20 20:09:21 GMT 2025","Analysis > Get Tooltips","Analysis Event","",""
"### Get Producer Total Events

This API endpoint is used to retrieve total events for a specific producer from the dashboard.

#### Request Body

- `request_type` (string, optional): Type of request.
    
- `product_type` (string, optional): Type of product.
    
- `fqs_type` (string): Type of FQS.
    
- `from_date` (string): Start date for the event search.
    
- `to_date` (string): End date for the event search.
    
- `product_category` (string, optional): Category of the product.
    

#### Response Body

The response is in JSON format and follows the schema below:

``` json
{
  ""Data"": [
    {
      ""event_id"": """",
      ""events_comments"": [
        {
          ""_id"": """",
          ""event_id"": """",
          ""comments"": """",
          ""user_name"": """",
          ""timestamp"": """"
        }
      ],
      ""event_type"": """",
      ""event_location"": {
        ""id"": """",
        ""name"": """"
      },
      ""trading_partner"": {
        ""id"": """",
        ""name"": """"
      },
      ""activity"": {
        ""type"": """",
        ""no"": """"
      },
      ""data_capture_time"": """",
      ""batches"": [
        {
          ""type"": """",
          ""manufacturer"": {
            ""id"": """",
            ""type"": """"
          },
          ""product"": {
            ""id"": """",
            ""type"": """"
          },
          ""product_instance"": {
            ""id"": """",
            ""type"": """"
          }
        }
      ]
    }
  ],
  ""Filters"": {
    ""manufacturer"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""tradPartner"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""eventLocation"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""productId"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""activityType"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""activityNumber"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""prodInstance"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ]
  }
}

 ```","379","Total Event - Empty Fields","Assurdly | Government APIs","Sun Apr 20 20:09:27 GMT 2025","failed","Sun Apr 20 20:09:27 GMT 2025","","Events Records","",""
"","360","Get Company Type","Assurdly | Government APIs","Sun Apr 20 20:09:22 GMT 2025","passed","Sun Apr 20 20:09:23 GMT 2025","Analysis > Get Company Type","Analysis Event","",""
"","208","Participant Details","Assurdly | Government APIs","Sun Apr 20 20:09:13 GMT 2025","failed","Sun Apr 20 20:09:13 GMT 2025","participant","Home","",""
"","361","Get Preference - Get Labels -","Assurdly | Government APIs","Sun Apr 20 20:09:20 GMT 2025","failed","Sun Apr 20 20:09:21 GMT 2025","Analysis > Get Preference","Analysis Event","",""
"","506","Get Producer Activity  - No Auth","Assurdly | Government APIs","Sun Apr 20 20:09:16 GMT 2025","passed","Sun Apr 20 20:09:17 GMT 2025","","Participant Activity","",""
"","354","Get Labels - Empty Fields","Assurdly | Government APIs","Sun Apr 20 20:09:21 GMT 2025","failed","Sun Apr 20 20:09:22 GMT 2025","Analysis > Get Labels (for Frontend Field Display)","Analysis Event","",""
"","364","Creating Analysis Event - Empty Fields","Assurdly | Government APIs","Sun Apr 20 20:09:26 GMT 2025","passed","Sun Apr 20 20:09:26 GMT 2025","Single Event","Analysis Event","",""
"","509","Get Sites","Assurdly | Government APIs","Sun Apr 20 20:09:19 GMT 2025","passed","Sun Apr 20 20:09:19 GMT 2025","Analysis > Get Sites","Analysis Event","",""
"","363","Get Analysis Product Ids","Assurdly | Government APIs","Sun Apr 20 20:09:23 GMT 2025","passed","Sun Apr 20 20:09:24 GMT 2025","Analysis Product Ids","Analysis Event","",""
"","416","Get Product Instance List","Assurdly | Government APIs","Sun Apr 20 20:09:15 GMT 2025","passed","Sun Apr 20 20:09:16 GMT 2025","","Participant List","",""
"","198","Read Notification - Invalid Notification id","Assurdly | Government APIs","Sun Apr 20 20:09:13 GMT 2025","failed","Sun Apr 20 20:09:13 GMT 2025","Notification","Home","",""
"","347","Tour Status","Assurdly | Government APIs","Sun Apr 20 20:09:13 GMT 2025","passed","Sun Apr 20 20:09:13 GMT 2025","Tour","Home","",""
