"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1550","Get Dashboard Statistics Empty Field","Assurdly | Producer API","Wed Apr 23 18:49:09 GMT 2025","passed","Wed Apr 23 18:49:11 GMT 2025","Overview > Stats","Dashboard","",""
"","387","Get Product Instance Shared Government Copy","Assurdly | Producer API","Wed Apr 23 18:49:12 GMT 2025","passed","Wed Apr 23 18:49:13 GMT 2025","","Shared With Government","",""
"","521","Read Notification - No Authorisation","Assurdly | Producer API","Wed Apr 23 18:49:06 GMT 2025","passed","Wed Apr 23 18:49:06 GMT 2025","Notification","Home","",""
"","352","Get Sites","Assurdly | Producer API","Wed Apr 23 18:49:22 GMT 2025","passed","Wed Apr 23 18:49:23 GMT 2025","Analysis > Get Sites","Analysis Event","",""
"","356","Get Preference - Empty Fields","Assurdly | Producer API","Wed Apr 23 18:49:14 GMT 2025","failed","Wed Apr 23 18:49:14 GMT 2025","Transformation > Get Preference","Transformation Event","",""
"","379","Get Sites","Assurdly | Producer API","Wed Apr 23 18:49:13 GMT 2025","passed","Wed Apr 23 18:49:13 GMT 2025","Transformation > Get Sites","Transformation Event","",""
"","361","Get Share FQS","Assurdly | Producer API","Wed Apr 23 18:49:31 GMT 2025","failed","Wed Apr 23 18:49:31 GMT 2025","","FQS","",""
"","368","Get Total Events Count Empty Field","Assurdly | Producer API","Wed Apr 23 18:49:22 GMT 2025","failed","Wed Apr 23 18:49:22 GMT 2025","","Events","",""
"","364","Read Notification","Assurdly | Producer API","Wed Apr 23 18:49:05 GMT 2025","passed","Wed Apr 23 18:49:05 GMT 2025","Notification","Home","",""
"","514","Get product brand category - No auth","Assurdly | Producer API","Wed Apr 23 18:49:17 GMT 2025","passed","Wed Apr 23 18:49:17 GMT 2025","Transformation > Get Product Brand Category","Transformation Event","",""
"","355","Get Labels - Case Sensitive Event Type","Assurdly | Producer API","Wed Apr 23 18:49:25 GMT 2025","failed","Wed Apr 23 18:49:26 GMT 2025","Analysis > Get Labels (for Frontend Field Display)","Analysis Event","",""
