"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","436","Get Product Instance List","Assurdly | Government APIs","Fri Apr 25 18:47:06 GMT 2025","passed","Fri Apr 25 18:47:07 GMT 2025","","Participant List","",""
"","369","Get Preference","Assurdly | Government APIs","Fri Apr 25 18:47:04 GMT 2025","failed","Fri Apr 25 18:47:05 GMT 2025","Preference > Fetch UOM Preference","Home","",""
"","360","Dashboard Filter","Assurdly | Government APIs","Fri Apr 25 18:47:05 GMT 2025","failed","Fri Apr 25 18:47:06 GMT 2025","Stats","Dashboard","",""
"","388","Get Sites","Assurdly | Government APIs","Fri Apr 25 18:47:10 GMT 2025","passed","Fri Apr 25 18:47:10 GMT 2025","Analysis > Get Sites","Analysis Event","",""
"","510","Get Analysis Manufacturers - No Auth","Assurdly | Government APIs","Fri Apr 25 18:47:15 GMT 2025","passed","Fri Apr 25 18:47:16 GMT 2025","Analysis Manufacturers","Analysis Event","",""
"### Get Producer Total Events

This API endpoint is used to retrieve total events for a specific producer from the dashboard.

#### Request Body

- `request_type` (string, optional): Type of request.
    
- `product_type` (string, optional): Type of product.
    
- `fqs_type` (string): Type of FQS.
    
- `from_date` (string): Start date for the event search.
    
- `to_date` (string): End date for the event search.
    
- `product_category` (string, optional): Category of the product.
    

#### Response Body

The response is in JSON format and follows the schema below:

``` json
{
  ""Data"": [
    {
      ""event_id"": """",
      ""events_comments"": [
        {
          ""_id"": """",
          ""event_id"": """",
          ""comments"": """",
          ""user_name"": """",
          ""timestamp"": """"
        }
      ],
      ""event_type"": """",
      ""event_location"": {
        ""id"": """",
        ""name"": """"
      },
      ""trading_partner"": {
        ""id"": """",
        ""name"": """"
      },
      ""activity"": {
        ""type"": """",
        ""no"": """"
      },
      ""data_capture_time"": """",
      ""batches"": [
        {
          ""type"": """",
          ""manufacturer"": {
            ""id"": """",
            ""type"": """"
          },
          ""product"": {
            ""id"": """",
            ""type"": """"
          },
          ""product_instance"": {
            ""id"": """",
            ""type"": """"
          }
        }
      ]
    }
  ],
  ""Filters"": {
    ""manufacturer"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""tradPartner"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""eventLocation"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""productId"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""activityType"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""activityNumber"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""prodInstance"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ]
  }
}

 ```","364","Total Event - Empty Fields","Assurdly | Government APIs","Fri Apr 25 18:47:18 GMT 2025","failed","Fri Apr 25 18:47:18 GMT 2025","","Events Records","",""
"","366","Site Overview","Assurdly | Government APIs","Fri Apr 25 18:47:09 GMT 2025","passed","Fri Apr 25 18:47:09 GMT 2025","","Site Overview","",""
"","506","Get Product Instance List  - No Auth","Assurdly | Government APIs","Fri Apr 25 18:47:08 GMT 2025","passed","Fri Apr 25 18:47:09 GMT 2025","","Product Instances","",""
"","194","Login - Invalid Credentials - Missing Email","Assurdly | Government APIs","Fri Apr 25 18:47:03 GMT 2025","passed","Fri Apr 25 18:47:03 GMT 2025","Login","Authentication","",""
"","358","Get Preference","Assurdly | Government APIs","Fri Apr 25 18:47:11 GMT 2025","passed","Fri Apr 25 18:47:11 GMT 2025","Analysis > Get Preference","Analysis Event","",""
"","362","Total Events Count - Empty Fields","Assurdly | Government APIs","Fri Apr 25 18:47:18 GMT 2025","failed","Fri Apr 25 18:47:19 GMT 2025","","Events Records","",""
