"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","293","Total Event","Assurdly | Government APIs","Wed Apr 30 18:48:39 GMT 2025","passed","Wed Apr 30 18:48:39 GMT 2025","","Events Records","",""
"","257","Get Analysis Product Ids","Assurdly | Government APIs","Wed Apr 30 18:48:37 GMT 2025","passed","Wed Apr 30 18:48:37 GMT 2025","Analysis Product Ids","Analysis Event","",""
"","222","Login - Invalid Credentials","Assurdly | Government APIs","Wed Apr 30 18:48:28 GMT 2025","passed","Wed Apr 30 18:48:29 GMT 2025","Login","Authentication","",""
"","250","Get Tooltips","Assurdly | Government APIs","Wed Apr 30 18:48:35 GMT 2025","passed","Wed Apr 30 18:48:35 GMT 2025","Analysis > Get Tooltips","Analysis Event","",""
"","252","Get Analysis Manufacturers","Assurdly | Government APIs","Wed Apr 30 18:48:38 GMT 2025","passed","Wed Apr 30 18:48:38 GMT 2025","Analysis Instance Ids","Analysis Event","",""
"","256","Total Events Count - Empty Fields","Assurdly | Government APIs","Wed Apr 30 18:48:40 GMT 2025","failed","Wed Apr 30 18:48:40 GMT 2025","","Events Records","",""
"","252","Get Analysis Product Ids - Empty Fields","Assurdly | Government APIs","Wed Apr 30 18:48:37 GMT 2025","passed","Wed Apr 30 18:48:37 GMT 2025","Analysis Product Ids","Analysis Event","",""
"","258","Get Preference","Assurdly | Government APIs","Wed Apr 30 18:48:30 GMT 2025","failed","Wed Apr 30 18:48:30 GMT 2025","Preference > Fetch UOM Preference","Home","",""
"","308","Get Product Instance List","Assurdly | Government APIs","Wed Apr 30 18:48:31 GMT 2025","passed","Wed Apr 30 18:48:31 GMT 2025","","Participant List","",""
"","243","Tour Status","Assurdly | Government APIs","Wed Apr 30 18:48:29 GMT 2025","passed","Wed Apr 30 18:48:30 GMT 2025","Tour","Home","",""
"","255","Get Analysis Manufacturers","Assurdly | Government APIs","Wed Apr 30 18:48:36 GMT 2025","passed","Wed Apr 30 18:48:37 GMT 2025","Analysis Manufacturers","Analysis Event","",""
"","347","Get Product Instance List  - No Auth","Assurdly | Government APIs","Wed Apr 30 18:48:33 GMT 2025","passed","Wed Apr 30 18:48:33 GMT 2025","","Product Instances","",""
"","249","Get Labels - Case Sensitive Event Type","Assurdly | Government APIs","Wed Apr 30 18:48:36 GMT 2025","failed","Wed Apr 30 18:48:36 GMT 2025","Analysis > Get Labels (for Frontend Field Display)","Analysis Event","",""
"","353","Site Overview - No auth","Assurdly | Government APIs","Wed Apr 30 18:48:33 GMT 2025","passed","Wed Apr 30 18:48:34 GMT 2025","","Site Overview","",""
"","254","Get Labels - Empty Fields","Assurdly | Government APIs","Wed Apr 30 18:48:36 GMT 2025","failed","Wed Apr 30 18:48:36 GMT 2025","Analysis > Get Labels (for Frontend Field Display)","Analysis Event","",""
"### Get Producer Total Events

This API endpoint is used to retrieve total events for a specific producer from the dashboard.

#### Request Body

- `request_type` (string, optional): Type of request.
    
- `product_type` (string, optional): Type of product.
    
- `fqs_type` (string): Type of FQS.
    
- `from_date` (string): Start date for the event search.
    
- `to_date` (string): End date for the event search.
    
- `product_category` (string, optional): Category of the product.
    

#### Response Body

The response is in JSON format and follows the schema below:

``` json
{
  ""Data"": [
    {
      ""event_id"": """",
      ""events_comments"": [
        {
          ""_id"": """",
          ""event_id"": """",
          ""comments"": """",
          ""user_name"": """",
          ""timestamp"": """"
        }
      ],
      ""event_type"": """",
      ""event_location"": {
        ""id"": """",
        ""name"": """"
      },
      ""trading_partner"": {
        ""id"": """",
        ""name"": """"
      },
      ""activity"": {
        ""type"": """",
        ""no"": """"
      },
      ""data_capture_time"": """",
      ""batches"": [
        {
          ""type"": """",
          ""manufacturer"": {
            ""id"": """",
            ""type"": """"
          },
          ""product"": {
            ""id"": """",
            ""type"": """"
          },
          ""product_instance"": {
            ""id"": """",
            ""type"": """"
          }
        }
      ]
    }
  ],
  ""Filters"": {
    ""manufacturer"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""tradPartner"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""eventLocation"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""productId"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""activityType"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""activityNumber"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""prodInstance"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ]
  }
}

 ```","259","Total Event - Empty Fields","Assurdly | Government APIs","Wed Apr 30 18:48:39 GMT 2025","failed","Wed Apr 30 18:48:40 GMT 2025","","Events Records","",""
"","257","Creating Analysis Event - Empty Fields","Assurdly | Government APIs","Wed Apr 30 18:48:38 GMT 2025","passed","Wed Apr 30 18:48:39 GMT 2025","Single Event","Analysis Event","",""
"","203","Notifications","Assurdly | Government APIs","Wed Apr 30 18:48:29 GMT 2025","failed","Wed Apr 30 18:48:29 GMT 2025","Notification","Home","",""
"","256","Total Events Count","Assurdly | Government APIs","Wed Apr 30 18:48:40 GMT 2025","passed","Wed Apr 30 18:48:40 GMT 2025","","Events Records","",""
"","154","Read Notification","Assurdly | Government APIs","Wed Apr 30 18:48:29 GMT 2025","passed","Wed Apr 30 18:48:29 GMT 2025","Notification","Home","",""
"","250","Creating Analysis Event - Invalid Fields","Assurdly | Government APIs","Wed Apr 30 18:48:39 GMT 2025","passed","Wed Apr 30 18:48:39 GMT 2025","Single Event","Analysis Event","",""
"","257","Creating Analysis Event","Assurdly | Government APIs","Wed Apr 30 18:48:38 GMT 2025","failed","Wed Apr 30 18:48:38 GMT 2025","Single Event","Analysis Event","",""
"","147","Read Notification - Invalid Notification id","Assurdly | Government APIs","Wed Apr 30 18:48:29 GMT 2025","failed","Wed Apr 30 18:48:29 GMT 2025","Notification","Home","",""
"","257","Dashboard Filter","Assurdly | Government APIs","Wed Apr 30 18:48:31 GMT 2025","failed","Wed Apr 30 18:48:31 GMT 2025","Stats","Dashboard","",""
"","305","Get Producer Activity","Assurdly | Government APIs","Wed Apr 30 18:48:32 GMT 2025","passed","Wed Apr 30 18:48:32 GMT 2025","","Participant Activity","",""
"","351","Get Producer Activity  - No Auth","Assurdly | Government APIs","Wed Apr 30 18:48:32 GMT 2025","passed","Wed Apr 30 18:48:32 GMT 2025","","Participant Activity","",""
"","281","Get Sites","Assurdly | Government APIs","Wed Apr 30 18:48:34 GMT 2025","passed","Wed Apr 30 18:48:34 GMT 2025","Analysis > Get Sites","Analysis Event","",""
"","356","Get Analysis Manufacturers - No Auth","Assurdly | Government APIs","Wed Apr 30 18:48:38 GMT 2025","passed","Wed Apr 30 18:48:38 GMT 2025","Analysis Manufacturers","Analysis Event","",""
"","251","Get Labels","Assurdly | Government APIs","Wed Apr 30 18:48:35 GMT 2025","passed","Wed Apr 30 18:48:36 GMT 2025","Analysis > Get Labels (for Frontend Field Display)","Analysis Event","",""
"","263","Set Preference","Assurdly | Government APIs","Wed Apr 30 18:48:30 GMT 2025","passed","Wed Apr 30 18:48:30 GMT 2025","Preference > Set UOM Preference","Home","",""
"","352","Get Product Instance List Copy","Assurdly | Government APIs","Wed Apr 30 18:48:31 GMT 2025","passed","Wed Apr 30 18:48:32 GMT 2025","","Participant List","",""
"","135","Login - Invalid Credentials - Missing Password","Assurdly | Government APIs","Wed Apr 30 18:48:29 GMT 2025","failed","Wed Apr 30 18:48:29 GMT 2025","Login","Authentication","",""
"","253","Get Analysis Manufacturers - Empty Fields","Assurdly | Government APIs","Wed Apr 30 18:48:37 GMT 2025","passed","Wed Apr 30 18:48:37 GMT 2025","Analysis Manufacturers","Analysis Event","",""
"","248","Get Analysis Manufacturers","Assurdly | Government APIs","Wed Apr 30 18:48:37 GMT 2025","passed","Wed Apr 30 18:48:38 GMT 2025","Analysis Manufacturers","Analysis Event","",""
"","259","Get Preference","Assurdly | Government APIs","Wed Apr 30 18:48:34 GMT 2025","passed","Wed Apr 30 18:48:35 GMT 2025","Analysis > Get Preference","Analysis Event","",""
"","311","Get Product Instance List","Assurdly | Government APIs","Wed Apr 30 18:48:32 GMT 2025","passed","Wed Apr 30 18:48:33 GMT 2025","","Product Instances","",""
"","258","Get Company Type","Assurdly | Government APIs","Wed Apr 30 18:48:36 GMT 2025","passed","Wed Apr 30 18:48:36 GMT 2025","Analysis > Get Company Type","Analysis Event","",""
"","1006","Login - Valid Credentials","Assurdly | Government APIs","Wed Apr 30 18:48:27 GMT 2025","passed","Wed Apr 30 18:48:28 GMT 2025","Login","Authentication","",""
"","257","Get Preference - Empty Fields","Assurdly | Government APIs","Wed Apr 30 18:48:35 GMT 2025","failed","Wed Apr 30 18:48:35 GMT 2025","Analysis > Get Preference","Analysis Event","",""
"","140","Login - Invalid Credentials - Missing Email","Assurdly | Government APIs","Wed Apr 30 18:48:29 GMT 2025","passed","Wed Apr 30 18:48:29 GMT 2025","Login","Authentication","",""
"","158","Participant Details","Assurdly | Government APIs","Wed Apr 30 18:48:30 GMT 2025","failed","Wed Apr 30 18:48:30 GMT 2025","participant","Home","",""
"","258","Site Overview","Assurdly | Government APIs","Wed Apr 30 18:48:33 GMT 2025","passed","Wed Apr 30 18:48:33 GMT 2025","","Site Overview","",""
"","257","Get all config types","Assurdly | Government APIs","Wed Apr 30 18:48:34 GMT 2025","passed","Wed Apr 30 18:48:34 GMT 2025","Analysis > Config Types","Analysis Event","",""
"","257","Set uom Preference - Empty Value","Assurdly | Government APIs","Wed Apr 30 18:48:30 GMT 2025","passed","Wed Apr 30 18:48:31 GMT 2025","Preference > Set UOM Preference","Home","",""
"","248","Get Preference - Get Labels -","Assurdly | Government APIs","Wed Apr 30 18:48:35 GMT 2025","failed","Wed Apr 30 18:48:35 GMT 2025","Analysis > Get Preference","Analysis Event","",""
"","258","Dashboard Filter - Empty Required Fields","Assurdly | Government APIs","Wed Apr 30 18:48:31 GMT 2025","failed","Wed Apr 30 18:48:31 GMT 2025","Stats","Dashboard","",""
