"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","322","Creating Analysis Event - Invalid Fields","Assurdly | Producer API","Fri May 02 18:48:39 GMT 2025","passed","Fri May 02 18:48:39 GMT 2025","Single Event","Analysis Event","",""
"","315","Get Total Event Empty Field","Assurdly | Producer API","Fri May 02 18:48:32 GMT 2025","failed","Fri May 02 18:48:32 GMT 2025","","Events","",""
"","312","Get Total Events Count","Assurdly | Producer API","Fri May 02 18:48:32 GMT 2025","passed","Fri May 02 18:48:32 GMT 2025","","Events","",""
"","439","Get Total Event","Assurdly | Producer API","Fri May 02 18:48:31 GMT 2025","passed","Fri May 02 18:48:32 GMT 2025","","Events","",""
"","325","Set uom Preference","Assurdly | Producer API","Fri May 02 18:48:18 GMT 2025","passed","Fri May 02 18:48:19 GMT 2025","Preference","Home","",""
"","308","Get Tooltips","Assurdly | Producer API","Fri May 02 18:48:34 GMT 2025","passed","Fri May 02 18:48:34 GMT 2025","Analysis > Get Tooltips","Analysis Event","",""
"","310","Get Analysis Manufacturers - Empty Fields","Assurdly | Producer API","Fri May 02 18:48:36 GMT 2025","passed","Fri May 02 18:48:36 GMT 2025","Analysis Manufacturers","Analysis Event","",""
"","313","Get all config types","Assurdly | Producer API","Fri May 02 18:48:24 GMT 2025","passed","Fri May 02 18:48:25 GMT 2025","Transformation > Config Types","Transformation Event","",""
"","440","Get product brand category - No auth","Assurdly | Producer API","Fri May 02 18:48:28 GMT 2025","passed","Fri May 02 18:48:28 GMT 2025","Transformation > Get Product Brand Category","Transformation Event","",""
"","436","Create Single Event - No Auth","Assurdly | Producer API","Fri May 02 18:48:29 GMT 2025","passed","Fri May 02 18:48:30 GMT 2025","Single Event","Transformation Event","",""
"","311","Get Labels - Empty Fields","Assurdly | Producer API","Fri May 02 18:48:35 GMT 2025","failed","Fri May 02 18:48:35 GMT 2025","Analysis > Get Labels (for Frontend Field Display)","Analysis Event","",""
"","166","Login - Invalid Credentials - Missing Password","Assurdly | Producer API","Fri May 02 18:48:15 GMT 2025","failed","Fri May 02 18:48:16 GMT 2025","Login","Authentication","",""
"","315","Get Preference - Empty Fields","Assurdly | Producer API","Fri May 02 18:48:33 GMT 2025","failed","Fri May 02 18:48:34 GMT 2025","Analysis > Get Preference","Analysis Event","",""
"","417","Get Product Instance List","Assurdly | Producer API","Fri May 02 18:48:30 GMT 2025","passed","Fri May 02 18:48:30 GMT 2025","","Product Instances","",""
"","311","Get Analysis Product Ids - Empty Fields","Assurdly | Producer API","Fri May 02 18:48:37 GMT 2025","passed","Fri May 02 18:48:37 GMT 2025","Analysis Product Ids","Analysis Event","",""
"","258","Login - Invalid Credentials","Assurdly | Producer API","Fri May 02 18:48:15 GMT 2025","passed","Fri May 02 18:48:15 GMT 2025","Login","Authentication","",""
"","312","Get Preference","Assurdly | Producer API","Fri May 02 18:48:33 GMT 2025","passed","Fri May 02 18:48:33 GMT 2025","Analysis > Get Preference","Analysis Event","",""
"","171","Login - Invalid Credentials - Missing Email","Assurdly | Producer API","Fri May 02 18:48:16 GMT 2025","passed","Fri May 02 18:48:16 GMT 2025","Login","Authentication","",""
"","314","Get Total Events Count Empty Field","Assurdly | Producer API","Fri May 02 18:48:32 GMT 2025","failed","Fri May 02 18:48:32 GMT 2025","","Events","",""
"","307","Get Company Type","Assurdly | Producer API","Fri May 02 18:48:35 GMT 2025","passed","Fri May 02 18:48:36 GMT 2025","Analysis > Get Company Type","Analysis Event","",""
"","509","Get Product Instance Shared Government","Assurdly | Producer API","Fri May 02 18:48:23 GMT 2025","passed","Fri May 02 18:48:24 GMT 2025","","Shared With Government","",""
"","441","Get FQS Invalid Field","Assurdly | Producer API","Fri May 02 18:48:40 GMT 2025","passed","Fri May 02 18:48:40 GMT 2025","","FQS","",""
"","308","Get Analysis Manufacturers","Assurdly | Producer API","Fri May 02 18:48:38 GMT 2025","passed","Fri May 02 18:48:38 GMT 2025","Analysis Instance Ids","Analysis Event","",""
"","1815","Get Dashboard Statistics","Assurdly | Producer API","Fri May 02 18:48:19 GMT 2025","passed","Fri May 02 18:48:21 GMT 2025","Overview > Stats","Dashboard","",""
"","370","Get Product Shared Government Count","Assurdly | Producer API","Fri May 02 18:48:23 GMT 2025","passed","Fri May 02 18:48:23 GMT 2025","","Shared With Government","",""
"","440","Get Share FQS - No auth","Assurdly | Producer API","Fri May 02 18:48:41 GMT 2025","passed","Fri May 02 18:48:41 GMT 2025","","FQS","",""
"","335","Get Product Instance Shared Government Copy","Assurdly | Producer API","Fri May 02 18:48:24 GMT 2025","passed","Fri May 02 18:48:24 GMT 2025","","Shared With Government","",""
"","440","Read Notification - No Authorisation","Assurdly | Producer API","Fri May 02 18:48:17 GMT 2025","passed","Fri May 02 18:48:18 GMT 2025","Notification","Home","",""
"","305","Get product brand category","Assurdly | Producer API","Fri May 02 18:48:27 GMT 2025","passed","Fri May 02 18:48:28 GMT 2025","Transformation > Get Product Brand Category","Transformation Event","",""
"","316","Get uom Preference","Assurdly | Producer API","Fri May 02 18:48:18 GMT 2025","failed","Fri May 02 18:48:18 GMT 2025","Preference","Home","",""
"","320","Get Product Instance Graph Invalid Field","Assurdly | Producer API","Fri May 02 18:48:30 GMT 2025","failed","Fri May 02 18:48:31 GMT 2025","","Product Instances","",""
"","308","Get Sites","Assurdly | Producer API","Fri May 02 18:48:32 GMT 2025","passed","Fri May 02 18:48:33 GMT 2025","Analysis > Get Sites","Analysis Event","",""
"","313","Get Preference","Assurdly | Producer API","Fri May 02 18:48:25 GMT 2025","passed","Fri May 02 18:48:25 GMT 2025","Transformation > Get Preference","Transformation Event","",""
