"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","356","Get Total Events Count Empty Field","Assurdly | Producer API","Sun May 04 20:10:54 GMT 2025","failed","Sun May 04 20:10:54 GMT 2025","","Events","",""
"","358","Get Share FQS","Assurdly | Producer API","Sun May 04 20:11:03 GMT 2025","failed","Sun May 04 20:11:03 GMT 2025","","FQS","",""
"","350","Get Tooltips","Assurdly | Producer API","Sun May 04 20:10:56 GMT 2025","passed","Sun May 04 20:10:56 GMT 2025","Analysis > Get Tooltips","Analysis Event","",""
"","502","Get manufacturers - No auth","Assurdly | Producer API","Sun May 04 20:10:50 GMT 2025","passed","Sun May 04 20:10:50 GMT 2025","Transformation > Get Manufacturer","Transformation Event","",""
"","500","Get FQS Invalid Field","Assurdly | Producer API","Sun May 04 20:11:02 GMT 2025","passed","Sun May 04 20:11:03 GMT 2025","","FQS","",""
"","349","Get Analysis Manufacturers - Empty Fields","Assurdly | Producer API","Sun May 04 20:10:58 GMT 2025","passed","Sun May 04 20:10:59 GMT 2025","Analysis Manufacturers","Analysis Event","",""
"","351","Get Labels","Assurdly | Producer API","Sun May 04 20:10:56 GMT 2025","passed","Sun May 04 20:10:57 GMT 2025","Analysis > Get Labels (for Frontend Field Display)","Analysis Event","",""
"","352","Get Preference - Empty Fields","Assurdly | Producer API","Sun May 04 20:10:46 GMT 2025","failed","Sun May 04 20:10:46 GMT 2025","Transformation > Get Preference","Transformation Event","",""
"","352","Get transform outprod","Assurdly | Producer API","Sun May 04 20:10:48 GMT 2025","passed","Sun May 04 20:10:48 GMT 2025","Transformation > Get Transform Outprod","Transformation Event","",""
"","362","Get Product Instance Graph Invalid Field","Assurdly | Producer API","Sun May 04 20:10:52 GMT 2025","failed","Sun May 04 20:10:52 GMT 2025","","Product Instances","",""
"","346","Get Analysis Manufacturers","Assurdly | Producer API","Sun May 04 20:10:58 GMT 2025","passed","Sun May 04 20:10:58 GMT 2025","Analysis Manufacturers","Analysis Event","",""
"","542","Notifications","Assurdly | Producer API","Sun May 04 20:10:36 GMT 2025","failed","Sun May 04 20:10:37 GMT 2025","Notification","Home","",""
"","275","Tour Status","Assurdly | Producer API","Sun May 04 20:10:36 GMT 2025","passed","Sun May 04 20:10:36 GMT 2025","Tour","Home","",""
"","360","Read Notification - Invalid Notification id","Assurdly | Producer API","Sun May 04 20:10:37 GMT 2025","failed","Sun May 04 20:10:38 GMT 2025","Notification","Home","",""
"","504","Get Product Instance Graph","Assurdly | Producer API","Sun May 04 20:10:52 GMT 2025","passed","Sun May 04 20:10:53 GMT 2025","","Product Instances","",""
"","363","Get Analysis Product Ids","Assurdly | Producer API","Sun May 04 20:10:59 GMT 2025","passed","Sun May 04 20:10:59 GMT 2025","Analysis Product Ids","Analysis Event","",""
"","356","Get Tooltips","Assurdly | Producer API","Sun May 04 20:10:46 GMT 2025","passed","Sun May 04 20:10:47 GMT 2025","Transformation > Get Tooltips","Transformation Event","",""
"","354","Get all config types","Assurdly | Producer API","Sun May 04 20:10:45 GMT 2025","passed","Sun May 04 20:10:46 GMT 2025","Transformation > Config Types","Transformation Event","",""
"","380","Get Product Instance Shared Government Copy","Assurdly | Producer API","Sun May 04 20:10:44 GMT 2025","passed","Sun May 04 20:10:45 GMT 2025","","Shared With Government","",""
"","354","Get Sites","Assurdly | Producer API","Sun May 04 20:10:54 GMT 2025","passed","Sun May 04 20:10:55 GMT 2025","Analysis > Get Sites","Analysis Event","",""
"","396","Get Sites","Assurdly | Producer API","Sun May 04 20:10:45 GMT 2025","passed","Sun May 04 20:10:45 GMT 2025","Transformation > Get Sites","Transformation Event","",""
"","349","Get Preference - Empty Fields","Assurdly | Producer API","Sun May 04 20:10:55 GMT 2025","failed","Sun May 04 20:10:56 GMT 2025","Analysis > Get Preference","Analysis Event","",""
"","361","Read Notification","Assurdly | Producer API","Sun May 04 20:10:37 GMT 2025","passed","Sun May 04 20:10:37 GMT 2025","Notification","Home","",""
"","502","Create Single Event - No Auth","Assurdly | Producer API","Sun May 04 20:10:51 GMT 2025","passed","Sun May 04 20:10:51 GMT 2025","Single Event","Transformation Event","",""
"","423","Get Product Shared Government Count","Assurdly | Producer API","Sun May 04 20:10:43 GMT 2025","passed","Sun May 04 20:10:43 GMT 2025","","Shared With Government","",""
"","348","Get Company Type","Assurdly | Producer API","Sun May 04 20:10:48 GMT 2025","passed","Sun May 04 20:10:48 GMT 2025","Transformation > Get Company Type","Transformation Event","",""
"","409","Create Single Event","Assurdly | Producer API","Sun May 04 20:10:50 GMT 2025","failed","Sun May 04 20:10:51 GMT 2025","Single Event","Transformation Event","",""
"","349","Get Analysis Manufacturers","Assurdly | Producer API","Sun May 04 20:10:59 GMT 2025","passed","Sun May 04 20:11:00 GMT 2025","Analysis Manufacturers","Analysis Event","",""
"","395","Get Dashboard Filter","Assurdly | Producer API","Sun May 04 20:10:43 GMT 2025","passed","Sun May 04 20:10:43 GMT 2025","Overview > Stats","Dashboard","",""
"","351","Get manufacturers","Assurdly | Producer API","Sun May 04 20:10:49 GMT 2025","passed","Sun May 04 20:10:50 GMT 2025","Transformation > Get Manufacturer","Transformation Event","",""
"","355","Get Preference - Get Labels -","Assurdly | Producer API","Sun May 04 20:10:56 GMT 2025","failed","Sun May 04 20:10:56 GMT 2025","Analysis > Get Preference","Analysis Event","",""
"","396","Get FQS","Assurdly | Producer API","Sun May 04 20:11:02 GMT 2025","passed","Sun May 04 20:11:02 GMT 2025","","FQS","",""
"","361","Get Preference","Assurdly | Producer API","Sun May 04 20:10:55 GMT 2025","passed","Sun May 04 20:10:55 GMT 2025","Analysis > Get Preference","Analysis Event","",""
"","353","Creating Analysis Event - Invalid Fields","Assurdly | Producer API","Sun May 04 20:11:01 GMT 2025","passed","Sun May 04 20:11:02 GMT 2025","Single Event","Analysis Event","",""
