"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","313","Get Share FQS - No auth","Assurdly | Producer API","Wed May 07 18:47:52 GMT 2025","passed","Wed May 07 18:47:52 GMT 2025","","FQS","",""
"","233","Get Labels - Empty Fields","Assurdly | Producer API","Wed May 07 18:47:48 GMT 2025","failed","Wed May 07 18:47:48 GMT 2025","Analysis > Get Labels (for Frontend Field Display)","Analysis Event","",""
"","222","Get Analysis Manufacturers","Assurdly | Producer API","Wed May 07 18:47:49 GMT 2025","passed","Wed May 07 18:47:50 GMT 2025","Analysis Manufacturers","Analysis Event","",""
"","229","Creating Analysis Event - Empty Fields","Assurdly | Producer API","Wed May 07 18:47:50 GMT 2025","passed","Wed May 07 18:47:51 GMT 2025","Single Event","Analysis Event","",""
"","262","Create Single Event","Assurdly | Producer API","Wed May 07 18:47:43 GMT 2025","failed","Wed May 07 18:47:44 GMT 2025","Single Event","Transformation Event","",""
"","231","Creating Analysis Event - Invalid Fields","Assurdly | Producer API","Wed May 07 18:47:51 GMT 2025","passed","Wed May 07 18:47:51 GMT 2025","Single Event","Analysis Event","",""
"","228","Get Total Events Count Empty Field","Assurdly | Producer API","Wed May 07 18:47:46 GMT 2025","failed","Wed May 07 18:47:46 GMT 2025","","Events","",""
"","245","Get Product Instance Shared Government Copy","Assurdly | Producer API","Wed May 07 18:47:40 GMT 2025","passed","Wed May 07 18:47:40 GMT 2025","","Shared With Government","",""
"","227","Get manufacturers","Assurdly | Producer API","Wed May 07 18:47:43 GMT 2025","passed","Wed May 07 18:47:43 GMT 2025","Transformation > Get Manufacturer","Transformation Event","",""
"","776","Login - Valid Credentials","Assurdly | Producer API","Wed May 07 18:47:32 GMT 2025","passed","Wed May 07 18:47:33 GMT 2025","Login","Authentication","",""
"","354","Notifications","Assurdly | Producer API","Wed May 07 18:47:34 GMT 2025","failed","Wed May 07 18:47:34 GMT 2025","Notification","Home","",""
"","214","Tour Status","Assurdly | Producer API","Wed May 07 18:47:33 GMT 2025","passed","Wed May 07 18:47:33 GMT 2025","Tour","Home","",""
"","132","Login - Invalid Credentials - Missing Email","Assurdly | Producer API","Wed May 07 18:47:33 GMT 2025","passed","Wed May 07 18:47:33 GMT 2025","Login","Authentication","",""
"","226","Get Labels - Case Sensitive Event Type","Assurdly | Producer API","Wed May 07 18:47:42 GMT 2025","failed","Wed May 07 18:47:42 GMT 2025","Transformation > Get Labels (for Frontend Field Display)","Transformation Event","",""
"","231","Get Preference","Assurdly | Producer API","Wed May 07 18:47:41 GMT 2025","passed","Wed May 07 18:47:41 GMT 2025","Transformation > Get Preference","Transformation Event","",""
"","1733","Get Dashboard Statistics","Assurdly | Producer API","Wed May 07 18:47:35 GMT 2025","passed","Wed May 07 18:47:37 GMT 2025","Overview > Stats","Dashboard","",""
"","234","Get Product Instance Graph Invalid Field","Assurdly | Producer API","Wed May 07 18:47:45 GMT 2025","failed","Wed May 07 18:47:45 GMT 2025","","Product Instances","",""
"","257","Get FQS","Assurdly | Producer API","Wed May 07 18:47:51 GMT 2025","passed","Wed May 07 18:47:51 GMT 2025","","FQS","",""
"","122","Login - Invalid Credentials - Missing Password","Assurdly | Producer API","Wed May 07 18:47:33 GMT 2025","failed","Wed May 07 18:47:33 GMT 2025","Login","Authentication","",""
"","227","Get transform outprod","Assurdly | Producer API","Wed May 07 18:47:42 GMT 2025","passed","Wed May 07 18:47:42 GMT 2025","Transformation > Get Transform Outprod","Transformation Event","",""
"","319","Get product brand category - No auth","Assurdly | Producer API","Wed May 07 18:47:43 GMT 2025","passed","Wed May 07 18:47:43 GMT 2025","Transformation > Get Product Brand Category","Transformation Event","",""
"","292","Get Product Shared Government Count","Assurdly | Producer API","Wed May 07 18:47:39 GMT 2025","passed","Wed May 07 18:47:39 GMT 2025","","Shared With Government","",""
"","224","Get product brand category","Assurdly | Producer API","Wed May 07 18:47:42 GMT 2025","passed","Wed May 07 18:47:43 GMT 2025","Transformation > Get Product Brand Category","Transformation Event","",""
"","226","Get all config types","Assurdly | Producer API","Wed May 07 18:47:40 GMT 2025","passed","Wed May 07 18:47:41 GMT 2025","Transformation > Config Types","Transformation Event","",""
"","229","Read Notification - Invalid Notification id","Assurdly | Producer API","Wed May 07 18:47:34 GMT 2025","failed","Wed May 07 18:47:34 GMT 2025","Notification","Home","",""
"","230","Get Share FQS","Assurdly | Producer API","Wed May 07 18:47:52 GMT 2025","failed","Wed May 07 18:47:52 GMT 2025","","FQS","",""
"","309","Get Total Event","Assurdly | Producer API","Wed May 07 18:47:45 GMT 2025","passed","Wed May 07 18:47:45 GMT 2025","","Events","",""
