"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1703","Get Dashboard Statistics","Assurdly | Producer API","Fri May 09 18:48:35 GMT 2025","passed","Fri May 09 18:48:36 GMT 2025","Overview > Stats","Dashboard","",""
"","228","Get Labels","Assurdly | Producer API","Fri May 09 18:48:40 GMT 2025","passed","Fri May 09 18:48:41 GMT 2025","Transformation > Get Labels (for Frontend Field Display)","Transformation Event","",""
"","228","Creating Analysis Event","Assurdly | Producer API","Fri May 09 18:48:49 GMT 2025","failed","Fri May 09 18:48:49 GMT 2025","Single Event","Analysis Event","",""
"","226","Get uom Preference","Assurdly | Producer API","Fri May 09 18:48:34 GMT 2025","failed","Fri May 09 18:48:34 GMT 2025","Preference","Home","",""
"","309","Get Total Event","Assurdly | Producer API","Fri May 09 18:48:44 GMT 2025","passed","Fri May 09 18:48:45 GMT 2025","","Events","",""
"","223","Get product brand category","Assurdly | Producer API","Fri May 09 18:48:42 GMT 2025","passed","Fri May 09 18:48:42 GMT 2025","Transformation > Get Product Brand Category","Transformation Event","",""
"","231","Get all config types","Assurdly | Producer API","Fri May 09 18:48:46 GMT 2025","passed","Fri May 09 18:48:46 GMT 2025","Analysis > Config Types","Analysis Event","",""
"","226","Get Analysis Manufacturers","Assurdly | Producer API","Fri May 09 18:48:48 GMT 2025","passed","Fri May 09 18:48:48 GMT 2025","Analysis Manufacturers","Analysis Event","",""
"","228","Get Company Type","Assurdly | Producer API","Fri May 09 18:48:41 GMT 2025","passed","Fri May 09 18:48:41 GMT 2025","Transformation > Get Company Type","Transformation Event","",""
"","1423","Get Dashboard Statistics Empty Field","Assurdly | Producer API","Fri May 09 18:48:36 GMT 2025","passed","Fri May 09 18:48:38 GMT 2025","Overview > Stats","Dashboard","",""
"","132","Login - Invalid Credentials - Missing Password","Assurdly | Producer API","Fri May 09 18:48:32 GMT 2025","failed","Fri May 09 18:48:32 GMT 2025","Login","Authentication","",""
"","224","Get Labels - Empty Fields","Assurdly | Producer API","Fri May 09 18:48:47 GMT 2025","failed","Fri May 09 18:48:47 GMT 2025","Analysis > Get Labels (for Frontend Field Display)","Analysis Event","",""
"","225","Get Total Events Count Empty Field","Assurdly | Producer API","Fri May 09 18:48:45 GMT 2025","failed","Fri May 09 18:48:45 GMT 2025","","Events","",""
"","319","Get Analysis Manufacturers - No Auth","Assurdly | Producer API","Fri May 09 18:48:49 GMT 2025","passed","Fri May 09 18:48:49 GMT 2025","Analysis Manufacturers","Analysis Event","",""
