"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","333","Get Product Shared Government Count","Assurdly | Producer API","Sun May 11 20:10:56 GMT 2025","passed","Sun May 11 20:10:56 GMT 2025","","Shared With Government","",""
"","283","Get Preference - Empty Fields","Assurdly | Producer API","Sun May 11 20:11:06 GMT 2025","failed","Sun May 11 20:11:06 GMT 2025","Analysis > Get Preference","Analysis Event","",""
"","284","Get all config types","Assurdly | Producer API","Sun May 11 20:10:57 GMT 2025","passed","Sun May 11 20:10:58 GMT 2025","Transformation > Config Types","Transformation Event","",""
"","286","Creating Analysis Event","Assurdly | Producer API","Sun May 11 20:11:10 GMT 2025","failed","Sun May 11 20:11:10 GMT 2025","Single Event","Analysis Event","",""
"","280","Get Total Events Count","Assurdly | Producer API","Sun May 11 20:11:04 GMT 2025","passed","Sun May 11 20:11:04 GMT 2025","","Events","",""
"","221","Login - Invalid Credentials","Assurdly | Producer API","Sun May 11 20:10:49 GMT 2025","passed","Sun May 11 20:10:49 GMT 2025","Login","Authentication","",""
"","397","Get manufacturers - No auth","Assurdly | Producer API","Sun May 11 20:11:01 GMT 2025","passed","Sun May 11 20:11:01 GMT 2025","Transformation > Get Manufacturer","Transformation Event","",""
"","281","Get Preference - Empty Fields","Assurdly | Producer API","Sun May 11 20:10:58 GMT 2025","failed","Sun May 11 20:10:58 GMT 2025","Transformation > Get Preference","Transformation Event","",""
"","285","Get uom Preference","Assurdly | Producer API","Sun May 11 20:10:51 GMT 2025","failed","Sun May 11 20:10:52 GMT 2025","Preference","Home","",""
"","383","Get Product Instance List","Assurdly | Producer API","Sun May 11 20:11:02 GMT 2025","passed","Sun May 11 20:11:03 GMT 2025","","Product Instances","",""
"","278","Get Labels","Assurdly | Producer API","Sun May 11 20:11:06 GMT 2025","passed","Sun May 11 20:11:07 GMT 2025","Analysis > Get Labels (for Frontend Field Display)","Analysis Event","",""
