"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","279","Set uom Preference","Assurdly | Receiver API","Sun May 11 20:13:07 GMT 2025","failed","Sun May 11 20:13:08 GMT 2025","Preference","Home","",""
"","285","Get Labels - Case Sensitive Event Type","Assurdly | Receiver API","Sun May 11 20:13:19 GMT 2025","failed","Sun May 11 20:13:19 GMT 2025","Receiving > Get Labels","Receiving Event","",""
"","548","Dashboard Filter","Assurdly | Receiver API","Sun May 11 20:13:08 GMT 2025","passed","Sun May 11 20:13:09 GMT 2025","Stats","Dashboard","",""
"### Get Producer Total Events

This API endpoint is used to retrieve total events for a specific producer from the dashboard.

#### Request Body

- `request_type` (string, optional): Type of request.
    
- `product_type` (string, optional): Type of product.
    
- `fqs_type` (string): Type of FQS.
    
- `from_date` (string): Start date for the event search.
    
- `to_date` (string): End date for the event search.
    
- `product_category` (string, optional): Category of the product.
    

#### Response Body

The response is in JSON format and follows the schema below:

``` json
{
  ""Data"": [
    {
      ""event_id"": """",
      ""events_comments"": [
        {
          ""_id"": """",
          ""event_id"": """",
          ""comments"": """",
          ""user_name"": """",
          ""timestamp"": """"
        }
      ],
      ""event_type"": """",
      ""event_location"": {
        ""id"": """",
        ""name"": """"
      },
      ""trading_partner"": {
        ""id"": """",
        ""name"": """"
      },
      ""activity"": {
        ""type"": """",
        ""no"": """"
      },
      ""data_capture_time"": """",
      ""batches"": [
        {
          ""type"": """",
          ""manufacturer"": {
            ""id"": """",
            ""type"": """"
          },
          ""product"": {
            ""id"": """",
            ""type"": """"
          },
          ""product_instance"": {
            ""id"": """",
            ""type"": """"
          }
        }
      ]
    }
  ],
  ""Filters"": {
    ""manufacturer"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""tradPartner"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""eventLocation"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""productId"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""activityType"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""activityNumber"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""prodInstance"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ]
  }
}

 ```","856","Total Event - Empty Fields","Assurdly | Receiver API","Sun May 11 20:13:09 GMT 2025","failed","Sun May 11 20:13:10 GMT 2025","","Events Records","",""
"","398","Get label - No auth","Assurdly | Receiver API","Sun May 11 20:13:18 GMT 2025","passed","Sun May 11 20:13:18 GMT 2025","Receiving > Get Labels","Receiving Event","",""
"","335","Total Event","Assurdly | Receiver API","Sun May 11 20:13:09 GMT 2025","passed","Sun May 11 20:13:09 GMT 2025","","Events Records","",""
"","156","Read Notification","Assurdly | Receiver API","Sun May 11 20:13:06 GMT 2025","passed","Sun May 11 20:13:07 GMT 2025","Notification","Home","",""
"","278","get preference","Assurdly | Receiver API","Sun May 11 20:13:17 GMT 2025","passed","Sun May 11 20:13:17 GMT 2025","Receiving > Get Preference","Receiving Event","",""
"","281","Get Preference - Empty Fields","Assurdly | Receiver API","Sun May 11 20:13:18 GMT 2025","failed","Sun May 11 20:13:18 GMT 2025","Receiving > Get Preference","Receiving Event","",""
"","285","get config types","Assurdly | Receiver API","Sun May 11 20:13:16 GMT 2025","passed","Sun May 11 20:13:16 GMT 2025","Receiving > Config Type","Receiving Event","",""
"","558","Get Product Instance Shared With Government Stats - Invalid Request (missing or incomplete field)","Assurdly | Receiver API","Sun May 11 20:13:13 GMT 2025","failed","Sun May 11 20:13:14 GMT 2025","","Shared With Government","",""
"","280","Get activity numbers","Assurdly | Receiver API","Sun May 11 20:13:20 GMT 2025","passed","Sun May 11 20:13:20 GMT 2025","Receiving > Get Activity Numbers","Receiving Event","",""
"","319","Get Product Instance Shared with Government","Assurdly | Receiver API","Sun May 11 20:13:13 GMT 2025","failed","Sun May 11 20:13:13 GMT 2025","","Shared With Government","",""
"","550","Dashboard Filter - Empty Required Fields","Assurdly | Receiver API","Sun May 11 20:13:09 GMT 2025","failed","Sun May 11 20:13:09 GMT 2025","Stats","Dashboard","",""
"","308","Get Product Instance - Invalid Request (missing or incomplete field)","Assurdly | Receiver API","Sun May 11 20:13:11 GMT 2025","failed","Sun May 11 20:13:11 GMT 2025","","Product Instances","",""
"","399","Get activity numbers - No auth","Assurdly | Receiver API","Sun May 11 20:13:20 GMT 2025","passed","Sun May 11 20:13:20 GMT 2025","Receiving > Get Activity Numbers","Receiving Event","",""
"","398","Single event -No auth","Assurdly | Receiver API","Sun May 11 20:13:21 GMT 2025","passed","Sun May 11 20:13:21 GMT 2025","Single Event","Receiving Event","",""
"","206","Get Product Instance Shared With Government Stats","Assurdly | Receiver API","Sun May 11 20:13:13 GMT 2025","broken","Sun May 11 20:13:13 GMT 2025","","Shared With Government","",""
"","360","Notifications","Assurdly | Receiver API","Sun May 11 20:13:06 GMT 2025","failed","Sun May 11 20:13:06 GMT 2025","Notification","Home","",""
"","153","Read Notification - Invalid Notification id","Assurdly | Receiver API","Sun May 11 20:13:07 GMT 2025","failed","Sun May 11 20:13:07 GMT 2025","Notification","Home","",""
"","320","Get Product Instance Shared with Government - Invalid Request (missing or incomplete field)","Assurdly | Receiver API","Sun May 11 20:13:13 GMT 2025","failed","Sun May 11 20:13:13 GMT 2025","","Shared With Government","",""
"","404","get config types -No auth","Assurdly | Receiver API","Sun May 11 20:13:16 GMT 2025","passed","Sun May 11 20:13:17 GMT 2025","Receiving > Config Type","Receiving Event","",""
"","283","Total Events Count","Assurdly | Receiver API","Sun May 11 20:13:10 GMT 2025","passed","Sun May 11 20:13:11 GMT 2025","","Events Records","",""
"","287","Get uom Preference","Assurdly | Receiver API","Sun May 11 20:13:07 GMT 2025","failed","Sun May 11 20:13:07 GMT 2025","Preference","Home","",""
"","223","Login - Invalid Credentials - No Authorization","Assurdly | Receiver API","Sun May 11 20:13:06 GMT 2025","passed","Sun May 11 20:13:06 GMT 2025","Login","Authentication","",""
"","283","Get Labels - Empty Fields Copy","Assurdly | Receiver API","Sun May 11 20:13:18 GMT 2025","failed","Sun May 11 20:13:19 GMT 2025","Receiving > Get Labels","Receiving Event","",""
"","395","Get trading partner -No auth","Assurdly | Receiver API","Sun May 11 20:13:15 GMT 2025","passed","Sun May 11 20:13:15 GMT 2025","Receiving > Get Trading Partner","Receiving Event","",""
"","227","Login - Invalid Credentials - Wrong Username or Password","Assurdly | Receiver API","Sun May 11 20:13:05 GMT 2025","passed","Sun May 11 20:13:06 GMT 2025","Login","Authentication","",""
"","283","Total Events Count - Empty Fields","Assurdly | Receiver API","Sun May 11 20:13:11 GMT 2025","failed","Sun May 11 20:13:11 GMT 2025","","Events Records","",""
"","326","Single event","Assurdly | Receiver API","Sun May 11 20:13:20 GMT 2025","passed","Sun May 11 20:13:21 GMT 2025","Single Event","Receiving Event","",""
