"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","233","Login - Invalid Credentials - Wrong Username or Password","Assurdly | Receiver API","Wed May 14 18:44:54 GMT 2025","passed","Wed May 14 18:44:54 GMT 2025","Login","Authentication","",""
"","399","Get label - No auth","Assurdly | Receiver API","Wed May 14 18:45:06 GMT 2025","passed","Wed May 14 18:45:07 GMT 2025","Receiving > Get Labels","Receiving Event","",""
"","343","Single event","Assurdly | Receiver API","Wed May 14 18:45:09 GMT 2025","passed","Wed May 14 18:45:09 GMT 2025","Single Event","Receiving Event","",""
"","283","Get Preference - Empty Fields","Assurdly | Receiver API","Wed May 14 18:45:06 GMT 2025","failed","Wed May 14 18:45:06 GMT 2025","Receiving > Get Preference","Receiving Event","",""
"","334","Total Event","Assurdly | Receiver API","Wed May 14 18:44:57 GMT 2025","passed","Wed May 14 18:44:58 GMT 2025","","Events Records","",""
"","396","Get producer record receiving - No auth","Assurdly | Receiver API","Wed May 14 18:45:07 GMT 2025","passed","Wed May 14 18:45:08 GMT 2025","Receiving > Get Producer Record Receiving","Receiving Event","",""
"","402","Get tooltip - No auth","Assurdly | Receiver API","Wed May 14 18:45:04 GMT 2025","passed","Wed May 14 18:45:04 GMT 2025","Receiving > Get Tooltips","Receiving Event","",""
"","279","Set uom Preference","Assurdly | Receiver API","Wed May 14 18:44:56 GMT 2025","failed","Wed May 14 18:44:56 GMT 2025","Preference","Home","",""
"","285","Total Events Count","Assurdly | Receiver API","Wed May 14 18:44:59 GMT 2025","passed","Wed May 14 18:44:59 GMT 2025","","Events Records","",""
"","551","Dashboard Filter - Empty Required Fields","Assurdly | Receiver API","Wed May 14 18:44:57 GMT 2025","failed","Wed May 14 18:44:57 GMT 2025","Stats","Dashboard","",""
"","312","Get Product Instance","Assurdly | Receiver API","Wed May 14 18:44:59 GMT 2025","failed","Wed May 14 18:44:59 GMT 2025","","Product Instances","",""
"","290","Participant Detail","Assurdly | Receiver API","Wed May 14 18:44:55 GMT 2025","passed","Wed May 14 18:44:55 GMT 2025","participant","Home","",""
"","401","Get activity numbers - No auth","Assurdly | Receiver API","Wed May 14 18:45:08 GMT 2025","passed","Wed May 14 18:45:08 GMT 2025","Receiving > Get Activity Numbers","Receiving Event","",""
"","281","Get Labels - Empty Fields Copy","Assurdly | Receiver API","Wed May 14 18:45:07 GMT 2025","failed","Wed May 14 18:45:07 GMT 2025","Receiving > Get Labels","Receiving Event","",""
"","338","Get sites","Assurdly | Receiver API","Wed May 14 18:45:02 GMT 2025","passed","Wed May 14 18:45:03 GMT 2025","Receiving > Get Sites","Receiving Event","",""
"","544","Get Product Instance Graph Invalid Request (missing or incomplete field)","Assurdly | Receiver API","Wed May 14 18:45:00 GMT 2025","failed","Wed May 14 18:45:01 GMT 2025","","Product Instances","",""
"","281","Get activity numbers","Assurdly | Receiver API","Wed May 14 18:45:08 GMT 2025","passed","Wed May 14 18:45:09 GMT 2025","Receiving > Get Activity Numbers","Receiving Event","",""
"### Get Producer Total Events

This API endpoint is used to retrieve total events for a specific producer from the dashboard.

#### Request Body

- `request_type` (string, optional): Type of request.
    
- `product_type` (string, optional): Type of product.
    
- `fqs_type` (string): Type of FQS.
    
- `from_date` (string): Start date for the event search.
    
- `to_date` (string): End date for the event search.
    
- `product_category` (string, optional): Category of the product.
    

#### Response Body

The response is in JSON format and follows the schema below:

``` json
{
  ""Data"": [
    {
      ""event_id"": """",
      ""events_comments"": [
        {
          ""_id"": """",
          ""event_id"": """",
          ""comments"": """",
          ""user_name"": """",
          ""timestamp"": """"
        }
      ],
      ""event_type"": """",
      ""event_location"": {
        ""id"": """",
        ""name"": """"
      },
      ""trading_partner"": {
        ""id"": """",
        ""name"": """"
      },
      ""activity"": {
        ""type"": """",
        ""no"": """"
      },
      ""data_capture_time"": """",
      ""batches"": [
        {
          ""type"": """",
          ""manufacturer"": {
            ""id"": """",
            ""type"": """"
          },
          ""product"": {
            ""id"": """",
            ""type"": """"
          },
          ""product_instance"": {
            ""id"": """",
            ""type"": """"
          }
        }
      ]
    }
  ],
  ""Filters"": {
    ""manufacturer"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""tradPartner"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""eventLocation"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""productId"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""activityType"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""activityNumber"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""prodInstance"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ]
  }
}

 ```","842","Total Event - Empty Fields","Assurdly | Receiver API","Wed May 14 18:44:58 GMT 2025","failed","Wed May 14 18:44:59 GMT 2025","","Events Records","",""
"","151","Read Notification - Invalid Notification id","Assurdly | Receiver API","Wed May 14 18:44:55 GMT 2025","failed","Wed May 14 18:44:55 GMT 2025","Notification","Home","",""
"","540","Get Product Instance Graph","Assurdly | Receiver API","Wed May 14 18:45:00 GMT 2025","passed","Wed May 14 18:45:00 GMT 2025","","Product Instances","",""
"","288","get preference","Assurdly | Receiver API","Wed May 14 18:45:05 GMT 2025","passed","Wed May 14 18:45:05 GMT 2025","Receiving > Get Preference","Receiving Event","",""
"","405","Get trading partner -No auth","Assurdly | Receiver API","Wed May 14 18:45:03 GMT 2025","passed","Wed May 14 18:45:04 GMT 2025","Receiving > Get Trading Partner","Receiving Event","",""
"","317","Get Product Instance Shared with Government - Invalid Request (missing or incomplete field)","Assurdly | Receiver API","Wed May 14 18:45:01 GMT 2025","failed","Wed May 14 18:45:01 GMT 2025","","Shared With Government","",""
"","157","Tour Status","Assurdly | Receiver API","Wed May 14 18:44:55 GMT 2025","passed","Wed May 14 18:44:55 GMT 2025","Tour","Home","",""
"","914","Login - Valid Credentials","Assurdly | Receiver API","Wed May 14 18:44:53 GMT 2025","passed","Wed May 14 18:44:54 GMT 2025","Login","Authentication","",""
"","280","Set uom Preference - Empty Value","Assurdly | Receiver API","Wed May 14 18:44:56 GMT 2025","failed","Wed May 14 18:44:56 GMT 2025","Preference","Home","",""
"","308","Get Product Instance - Invalid Request (missing or incomplete field)","Assurdly | Receiver API","Wed May 14 18:44:59 GMT 2025","failed","Wed May 14 18:45:00 GMT 2025","","Product Instances","",""
"","415","Get sites - No auth","Assurdly | Receiver API","Wed May 14 18:45:03 GMT 2025","passed","Wed May 14 18:45:03 GMT 2025","Receiving > Get Sites","Receiving Event","",""
"","218","Login - Invalid Credentials - No Authorization","Assurdly | Receiver API","Wed May 14 18:44:54 GMT 2025","passed","Wed May 14 18:44:54 GMT 2025","Login","Authentication","",""
"","398","get config types -No auth","Assurdly | Receiver API","Wed May 14 18:45:05 GMT 2025","passed","Wed May 14 18:45:05 GMT 2025","Receiving > Config Type","Receiving Event","",""
"","557","Get Product Instance Shared With Government Stats - Invalid Request (missing or incomplete field)","Assurdly | Receiver API","Wed May 14 18:45:02 GMT 2025","failed","Wed May 14 18:45:02 GMT 2025","","Shared With Government","",""
"","279","Get Product Instance Shared With Government Stats","Assurdly | Receiver API","Wed May 14 18:45:01 GMT 2025","broken","Wed May 14 18:45:02 GMT 2025","","Shared With Government","",""
"","317","Get Product Instance Shared with Government","Assurdly | Receiver API","Wed May 14 18:45:01 GMT 2025","failed","Wed May 14 18:45:01 GMT 2025","","Shared With Government","",""
"","162","Read Notification","Assurdly | Receiver API","Wed May 14 18:44:55 GMT 2025","passed","Wed May 14 18:44:55 GMT 2025","Notification","Home","",""
"","292","Get Labels - Case Sensitive Event Type","Assurdly | Receiver API","Wed May 14 18:45:07 GMT 2025","failed","Wed May 14 18:45:07 GMT 2025","Receiving > Get Labels","Receiving Event","",""
"","284","Get producer record receiving","Assurdly | Receiver API","Wed May 14 18:45:08 GMT 2025","passed","Wed May 14 18:45:08 GMT 2025","Receiving > Get Producer Record Receiving","Receiving Event","",""
"","282","get config types","Assurdly | Receiver API","Wed May 14 18:45:04 GMT 2025","passed","Wed May 14 18:45:05 GMT 2025","Receiving > Config Type","Receiving Event","",""
"","390","Notifications","Assurdly | Receiver API","Wed May 14 18:44:54 GMT 2025","failed","Wed May 14 18:44:55 GMT 2025","Notification","Home","",""
"","154","Login - Invalid Credentials - Missing Password","Assurdly | Receiver API","Wed May 14 18:44:54 GMT 2025","failed","Wed May 14 18:44:54 GMT 2025","Login","Authentication","",""
"","282","Total Events Count - Empty Fields","Assurdly | Receiver API","Wed May 14 18:44:59 GMT 2025","failed","Wed May 14 18:44:59 GMT 2025","","Events Records","",""
"","401","get preference -No auth","Assurdly | Receiver API","Wed May 14 18:45:05 GMT 2025","passed","Wed May 14 18:45:06 GMT 2025","Receiving > Get Preference","Receiving Event","",""
"","278","Get tooltip","Assurdly | Receiver API","Wed May 14 18:45:04 GMT 2025","passed","Wed May 14 18:45:04 GMT 2025","Receiving > Get Tooltips","Receiving Event","",""
"","280","Get trading partner","Assurdly | Receiver API","Wed May 14 18:45:03 GMT 2025","passed","Wed May 14 18:45:03 GMT 2025","Receiving > Get Trading Partner","Receiving Event","",""
"","545","Dashboard Filter","Assurdly | Receiver API","Wed May 14 18:44:56 GMT 2025","passed","Wed May 14 18:44:57 GMT 2025","Stats","Dashboard","",""
"","282","Get uom Preference","Assurdly | Receiver API","Wed May 14 18:44:55 GMT 2025","failed","Wed May 14 18:44:56 GMT 2025","Preference","Home","",""
"","399","Single event -No auth","Assurdly | Receiver API","Wed May 14 18:45:09 GMT 2025","passed","Wed May 14 18:45:09 GMT 2025","Single Event","Receiving Event","",""
"","277","Get label","Assurdly | Receiver API","Wed May 14 18:45:06 GMT 2025","passed","Wed May 14 18:45:06 GMT 2025","Receiving > Get Labels","Receiving Event","",""
