"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","216","Tour Status","Assurdly | Government APIs","Fri May 16 18:48:07 GMT 2025","passed","Fri May 16 18:48:07 GMT 2025","Tour","Home","",""
"","225","Creating Analysis Event - Empty Fields","Assurdly | Government APIs","Fri May 16 18:48:14 GMT 2025","passed","Fri May 16 18:48:15 GMT 2025","Single Event","Analysis Event","",""
"","269","Get Product Instance List","Assurdly | Government APIs","Fri May 16 18:48:09 GMT 2025","passed","Fri May 16 18:48:10 GMT 2025","","Product Instances","",""
"","218","Set uom Preference - Empty Value","Assurdly | Government APIs","Fri May 16 18:48:07 GMT 2025","failed","Fri May 16 18:48:08 GMT 2025","Preference > Set UOM Preference","Home","",""
"","304","Get Product Instance List Copy","Assurdly | Government APIs","Fri May 16 18:48:08 GMT 2025","passed","Fri May 16 18:48:09 GMT 2025","","Participant List","",""
"","298","Get Producer Activity  - No Auth","Assurdly | Government APIs","Fri May 16 18:48:09 GMT 2025","passed","Fri May 16 18:48:09 GMT 2025","","Participant Activity","",""
"### Get Producer Total Events

This API endpoint is used to retrieve total events for a specific producer from the dashboard.

#### Request Body

- `request_type` (string, optional): Type of request.
    
- `product_type` (string, optional): Type of product.
    
- `fqs_type` (string): Type of FQS.
    
- `from_date` (string): Start date for the event search.
    
- `to_date` (string): End date for the event search.
    
- `product_category` (string, optional): Category of the product.
    

#### Response Body

The response is in JSON format and follows the schema below:

``` json
{
  ""Data"": [
    {
      ""event_id"": """",
      ""events_comments"": [
        {
          ""_id"": """",
          ""event_id"": """",
          ""comments"": """",
          ""user_name"": """",
          ""timestamp"": """"
        }
      ],
      ""event_type"": """",
      ""event_location"": {
        ""id"": """",
        ""name"": """"
      },
      ""trading_partner"": {
        ""id"": """",
        ""name"": """"
      },
      ""activity"": {
        ""type"": """",
        ""no"": """"
      },
      ""data_capture_time"": """",
      ""batches"": [
        {
          ""type"": """",
          ""manufacturer"": {
            ""id"": """",
            ""type"": """"
          },
          ""product"": {
            ""id"": """",
            ""type"": """"
          },
          ""product_instance"": {
            ""id"": """",
            ""type"": """"
          }
        }
      ]
    }
  ],
  ""Filters"": {
    ""manufacturer"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""tradPartner"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""eventLocation"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""productId"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""activityType"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""activityNumber"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""prodInstance"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ]
  }
}

 ```","219","Total Event - Empty Fields","Assurdly | Government APIs","Fri May 16 18:48:15 GMT 2025","failed","Fri May 16 18:48:15 GMT 2025","","Events Records","",""
"","129","Login - Invalid Credentials - Missing Password","Assurdly | Government APIs","Fri May 16 18:48:06 GMT 2025","failed","Fri May 16 18:48:06 GMT 2025","Login","Authentication","",""
"","219","Creating Analysis Event - Invalid Fields","Assurdly | Government APIs","Fri May 16 18:48:15 GMT 2025","passed","Fri May 16 18:48:15 GMT 2025","Single Event","Analysis Event","",""
"","220","Get Preference","Assurdly | Government APIs","Fri May 16 18:48:11 GMT 2025","passed","Fri May 16 18:48:11 GMT 2025","Analysis > Get Preference","Analysis Event","",""
"","222","Get Analysis Manufacturers - Empty Fields","Assurdly | Government APIs","Fri May 16 18:48:13 GMT 2025","passed","Fri May 16 18:48:13 GMT 2025","Analysis Manufacturers","Analysis Event","",""
