"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","262","Notifications","Assurdly | Government APIs","Sun May 18 20:09:57 GMT 2025","failed","Sun May 18 20:09:57 GMT 2025","Notification","Home","",""
"","222","Get Preference - Get Labels -","Assurdly | Government APIs","Sun May 18 20:10:02 GMT 2025","failed","Sun May 18 20:10:02 GMT 2025","Analysis > Get Preference","Analysis Event","",""
"","238","Get Analysis Manufacturers","Assurdly | Government APIs","Sun May 18 20:10:04 GMT 2025","passed","Sun May 18 20:10:05 GMT 2025","Analysis Manufacturers","Analysis Event","",""
"","128","Login - Invalid Credentials - Missing Email","Assurdly | Government APIs","Sun May 18 20:09:57 GMT 2025","passed","Sun May 18 20:09:57 GMT 2025","Login","Authentication","",""
"","239","Get Preference - Empty Fields","Assurdly | Government APIs","Sun May 18 20:10:02 GMT 2025","failed","Sun May 18 20:10:02 GMT 2025","Analysis > Get Preference","Analysis Event","",""
"","220","Tour Status","Assurdly | Government APIs","Sun May 18 20:09:57 GMT 2025","passed","Sun May 18 20:09:58 GMT 2025","Tour","Home","",""
"","229","Creating Analysis Event - Empty Fields","Assurdly | Government APIs","Sun May 18 20:10:06 GMT 2025","passed","Sun May 18 20:10:06 GMT 2025","Single Event","Analysis Event","",""
"","228","Get Analysis Product Ids - Empty Fields","Assurdly | Government APIs","Sun May 18 20:10:04 GMT 2025","passed","Sun May 18 20:10:04 GMT 2025","Analysis Product Ids","Analysis Event","",""
"","226","Get Labels","Assurdly | Government APIs","Sun May 18 20:10:03 GMT 2025","passed","Sun May 18 20:10:03 GMT 2025","Analysis > Get Labels (for Frontend Field Display)","Analysis Event","",""
"","127","Login - Invalid Credentials - Missing Password","Assurdly | Government APIs","Sun May 18 20:09:57 GMT 2025","failed","Sun May 18 20:09:57 GMT 2025","Login","Authentication","",""
"","309","Get Analysis Manufacturers - No Auth","Assurdly | Government APIs","Sun May 18 20:10:05 GMT 2025","passed","Sun May 18 20:10:05 GMT 2025","Analysis Manufacturers","Analysis Event","",""
"","226","Set Preference","Assurdly | Government APIs","Sun May 18 20:09:58 GMT 2025","failed","Sun May 18 20:09:58 GMT 2025","Preference > Set UOM Preference","Home","",""
"","228","Get Analysis Product Ids","Assurdly | Government APIs","Sun May 18 20:10:04 GMT 2025","passed","Sun May 18 20:10:04 GMT 2025","Analysis Product Ids","Analysis Event","",""
"","133","Participant Details","Assurdly | Government APIs","Sun May 18 20:09:58 GMT 2025","failed","Sun May 18 20:09:58 GMT 2025","participant","Home","",""
"","222","Total Events Count - Empty Fields","Assurdly | Government APIs","Sun May 18 20:10:07 GMT 2025","failed","Sun May 18 20:10:07 GMT 2025","","Events Records","",""
"","310","Get Producer Activity  - No Auth","Assurdly | Government APIs","Sun May 18 20:10:00 GMT 2025","passed","Sun May 18 20:10:00 GMT 2025","","Participant Activity","",""
"","224","Set uom Preference - Empty Value","Assurdly | Government APIs","Sun May 18 20:09:58 GMT 2025","failed","Sun May 18 20:09:58 GMT 2025","Preference > Set UOM Preference","Home","",""
"","230","Get Preference","Assurdly | Government APIs","Sun May 18 20:09:58 GMT 2025","failed","Sun May 18 20:09:58 GMT 2025","Preference > Fetch UOM Preference","Home","",""
"","224","Dashboard Filter - Empty Required Fields","Assurdly | Government APIs","Sun May 18 20:09:59 GMT 2025","failed","Sun May 18 20:09:59 GMT 2025","Stats","Dashboard","",""
"","224","Get Tooltips","Assurdly | Government APIs","Sun May 18 20:10:02 GMT 2025","passed","Sun May 18 20:10:03 GMT 2025","Analysis > Get Tooltips","Analysis Event","",""
"","228","Get Analysis Manufacturers","Assurdly | Government APIs","Sun May 18 20:10:04 GMT 2025","passed","Sun May 18 20:10:04 GMT 2025","Analysis Manufacturers","Analysis Event","",""
