"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","298","Get Product Instance Shared with Government - Invalid Request (missing or incomplete field)","Assurdly | Receiver API","Wed May 21 18:46:43 GMT 2025","failed","Wed May 21 18:46:43 GMT 2025","","Shared With Government","",""
"","260","get preference","Assurdly | Receiver API","Wed May 21 18:46:47 GMT 2025","passed","Wed May 21 18:46:47 GMT 2025","Receiving > Get Preference","Receiving Event","",""
"","262","Get Preference - Empty Fields","Assurdly | Receiver API","Wed May 21 18:46:47 GMT 2025","failed","Wed May 21 18:46:47 GMT 2025","Receiving > Get Preference","Receiving Event","",""
"","257","Total Events Count","Assurdly | Receiver API","Wed May 21 18:46:40 GMT 2025","passed","Wed May 21 18:46:41 GMT 2025","","Events Records","",""
"","364","Single event -No auth","Assurdly | Receiver API","Wed May 21 18:46:50 GMT 2025","passed","Wed May 21 18:46:51 GMT 2025","Single Event","Receiving Event","",""
"","317","Total Event","Assurdly | Receiver API","Wed May 21 18:46:39 GMT 2025","passed","Wed May 21 18:46:40 GMT 2025","","Events Records","",""
"","528","Dashboard Filter","Assurdly | Receiver API","Wed May 21 18:46:38 GMT 2025","passed","Wed May 21 18:46:39 GMT 2025","Stats","Dashboard","",""
"### Get Producer Total Events

This API endpoint is used to retrieve total events for a specific producer from the dashboard.

#### Request Body

- `request_type` (string, optional): Type of request.
    
- `product_type` (string, optional): Type of product.
    
- `fqs_type` (string): Type of FQS.
    
- `from_date` (string): Start date for the event search.
    
- `to_date` (string): End date for the event search.
    
- `product_category` (string, optional): Category of the product.
    

#### Response Body

The response is in JSON format and follows the schema below:

``` json
{
  ""Data"": [
    {
      ""event_id"": """",
      ""events_comments"": [
        {
          ""_id"": """",
          ""event_id"": """",
          ""comments"": """",
          ""user_name"": """",
          ""timestamp"": """"
        }
      ],
      ""event_type"": """",
      ""event_location"": {
        ""id"": """",
        ""name"": """"
      },
      ""trading_partner"": {
        ""id"": """",
        ""name"": """"
      },
      ""activity"": {
        ""type"": """",
        ""no"": """"
      },
      ""data_capture_time"": """",
      ""batches"": [
        {
          ""type"": """",
          ""manufacturer"": {
            ""id"": """",
            ""type"": """"
          },
          ""product"": {
            ""id"": """",
            ""type"": """"
          },
          ""product_instance"": {
            ""id"": """",
            ""type"": """"
          }
        }
      ]
    }
  ],
  ""Filters"": {
    ""manufacturer"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""tradPartner"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""eventLocation"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""productId"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""activityType"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""activityNumber"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""prodInstance"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ]
  }
}

 ```","780","Total Event - Empty Fields","Assurdly | Receiver API","Wed May 21 18:46:40 GMT 2025","failed","Wed May 21 18:46:40 GMT 2025","","Events Records","",""
"","527","Get Product Instance Graph Invalid Request (missing or incomplete field)","Assurdly | Receiver API","Wed May 21 18:46:42 GMT 2025","failed","Wed May 21 18:46:43 GMT 2025","","Product Instances","",""
"","231","Login - Invalid Credentials - Wrong Username or Password","Assurdly | Receiver API","Wed May 21 18:46:36 GMT 2025","passed","Wed May 21 18:46:36 GMT 2025","Login","Authentication","",""
"","367","Get activity numbers - No auth","Assurdly | Receiver API","Wed May 21 18:46:49 GMT 2025","passed","Wed May 21 18:46:50 GMT 2025","Receiving > Get Activity Numbers","Receiving Event","",""
"","256","Set uom Preference - Empty Value","Assurdly | Receiver API","Wed May 21 18:46:38 GMT 2025","failed","Wed May 21 18:46:38 GMT 2025","Preference","Home","",""
"","201","Get Product Instance Shared With Government Stats","Assurdly | Receiver API","Wed May 21 18:46:43 GMT 2025","broken","Wed May 21 18:46:43 GMT 2025","","Shared With Government","",""
"","377","Get producer record receiving - No auth","Assurdly | Receiver API","Wed May 21 18:46:49 GMT 2025","passed","Wed May 21 18:46:49 GMT 2025","Receiving > Get Producer Record Receiving","Receiving Event","",""
"","547","Get Product Instance Shared With Government Stats - Invalid Request (missing or incomplete field)","Assurdly | Receiver API","Wed May 21 18:46:43 GMT 2025","failed","Wed May 21 18:46:44 GMT 2025","","Shared With Government","",""
"","294","Get Product Instance Shared with Government","Assurdly | Receiver API","Wed May 21 18:46:43 GMT 2025","failed","Wed May 21 18:46:43 GMT 2025","","Shared With Government","",""
"","286","Get Product Instance - Invalid Request (missing or incomplete field)","Assurdly | Receiver API","Wed May 21 18:46:41 GMT 2025","failed","Wed May 21 18:46:42 GMT 2025","","Product Instances","",""
"","375","get config types -No auth","Assurdly | Receiver API","Wed May 21 18:46:46 GMT 2025","passed","Wed May 21 18:46:47 GMT 2025","Receiving > Config Type","Receiving Event","",""
"","261","Get Labels - Empty Fields Copy","Assurdly | Receiver API","Wed May 21 18:46:48 GMT 2025","failed","Wed May 21 18:46:48 GMT 2025","Receiving > Get Labels","Receiving Event","",""
"","260","Total Events Count - Empty Fields","Assurdly | Receiver API","Wed May 21 18:46:41 GMT 2025","failed","Wed May 21 18:46:41 GMT 2025","","Events Records","",""
