"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","227","Site Overview","Assurdly | Government APIs","Wed May 21 18:49:44 GMT 2025","passed","Wed May 21 18:49:44 GMT 2025","","Site Overview","",""
"","224","Get Labels","Assurdly | Government APIs","Wed May 21 18:49:46 GMT 2025","passed","Wed May 21 18:49:46 GMT 2025","Analysis > Get Labels (for Frontend Field Display)","Analysis Event","",""
"","227","Get Labels - Case Sensitive Event Type","Assurdly | Government APIs","Wed May 21 18:49:47 GMT 2025","failed","Wed May 21 18:49:47 GMT 2025","Analysis > Get Labels (for Frontend Field Display)","Analysis Event","",""
"","203","Notifications","Assurdly | Government APIs","Wed May 21 18:49:40 GMT 2025","failed","Wed May 21 18:49:41 GMT 2025","Notification","Home","",""
"","227","Dashboard Filter - Empty Required Fields","Assurdly | Government APIs","Wed May 21 18:49:42 GMT 2025","failed","Wed May 21 18:49:42 GMT 2025","Stats","Dashboard","",""
"","231","Creating Analysis Event - Empty Fields","Assurdly | Government APIs","Wed May 21 18:49:49 GMT 2025","passed","Wed May 21 18:49:49 GMT 2025","Single Event","Analysis Event","",""
"","721","Login - Valid Credentials","Assurdly | Government APIs","Wed May 21 18:49:39 GMT 2025","passed","Wed May 21 18:49:40 GMT 2025","Login","Authentication","",""
"","232","Set Preference","Assurdly | Government APIs","Wed May 21 18:49:42 GMT 2025","failed","Wed May 21 18:49:42 GMT 2025","Preference > Set UOM Preference","Home","",""
"","132","Read Notification - Invalid Notification id","Assurdly | Government APIs","Wed May 21 18:49:41 GMT 2025","failed","Wed May 21 18:49:41 GMT 2025","Notification","Home","",""
"","236","Creating Analysis Event","Assurdly | Government APIs","Wed May 21 18:49:49 GMT 2025","failed","Wed May 21 18:49:49 GMT 2025","Single Event","Analysis Event","",""
"","128","Login - Invalid Credentials - Missing Password","Assurdly | Government APIs","Wed May 21 18:49:40 GMT 2025","failed","Wed May 21 18:49:40 GMT 2025","Login","Authentication","",""
"","232","Get Preference","Assurdly | Government APIs","Wed May 21 18:49:41 GMT 2025","failed","Wed May 21 18:49:42 GMT 2025","Preference > Fetch UOM Preference","Home","",""
"","276","Get Sites","Assurdly | Government APIs","Wed May 21 18:49:45 GMT 2025","passed","Wed May 21 18:49:45 GMT 2025","Analysis > Get Sites","Analysis Event","",""
"","229","Get Tooltips","Assurdly | Government APIs","Wed May 21 18:49:46 GMT 2025","passed","Wed May 21 18:49:46 GMT 2025","Analysis > Get Tooltips","Analysis Event","",""
"","212","Login - Invalid Credentials","Assurdly | Government APIs","Wed May 21 18:49:40 GMT 2025","passed","Wed May 21 18:49:40 GMT 2025","Login","Authentication","",""
"","227","Dashboard Filter","Assurdly | Government APIs","Wed May 21 18:49:42 GMT 2025","failed","Wed May 21 18:49:42 GMT 2025","Stats","Dashboard","",""
"","227","Get Preference - Empty Fields","Assurdly | Government APIs","Wed May 21 18:49:46 GMT 2025","failed","Wed May 21 18:49:46 GMT 2025","Analysis > Get Preference","Analysis Event","",""
"","221","Tour Status","Assurdly | Government APIs","Wed May 21 18:49:41 GMT 2025","passed","Wed May 21 18:49:41 GMT 2025","Tour","Home","",""
"","229","Get Analysis Manufacturers","Assurdly | Government APIs","Wed May 21 18:49:48 GMT 2025","passed","Wed May 21 18:49:48 GMT 2025","Analysis Manufacturers","Analysis Event","",""
"","228","Get Analysis Manufacturers - Empty Fields","Assurdly | Government APIs","Wed May 21 18:49:47 GMT 2025","passed","Wed May 21 18:49:48 GMT 2025","Analysis Manufacturers","Analysis Event","",""
"","315","Get Analysis Manufacturers - No Auth","Assurdly | Government APIs","Wed May 21 18:49:48 GMT 2025","passed","Wed May 21 18:49:49 GMT 2025","Analysis Manufacturers","Analysis Event","",""
"","133","Read Notification","Assurdly | Government APIs","Wed May 21 18:49:41 GMT 2025","passed","Wed May 21 18:49:41 GMT 2025","Notification","Home","",""
"","233","Get Analysis Manufacturers","Assurdly | Government APIs","Wed May 21 18:49:47 GMT 2025","passed","Wed May 21 18:49:47 GMT 2025","Analysis Manufacturers","Analysis Event","",""
"","223","Total Events Count","Assurdly | Government APIs","Wed May 21 18:49:50 GMT 2025","passed","Wed May 21 18:49:50 GMT 2025","","Events Records","",""
"","319","Get Product Instance List Copy","Assurdly | Government APIs","Wed May 21 18:49:43 GMT 2025","passed","Wed May 21 18:49:43 GMT 2025","","Participant List","",""
"","273","Get Product Instance List","Assurdly | Government APIs","Wed May 21 18:49:44 GMT 2025","passed","Wed May 21 18:49:44 GMT 2025","","Product Instances","",""
"","221","Set uom Preference - Empty Value","Assurdly | Government APIs","Wed May 21 18:49:42 GMT 2025","failed","Wed May 21 18:49:42 GMT 2025","Preference > Set UOM Preference","Home","",""
"","228","Get Analysis Product Ids - Empty Fields","Assurdly | Government APIs","Wed May 21 18:49:48 GMT 2025","passed","Wed May 21 18:49:48 GMT 2025","Analysis Product Ids","Analysis Event","",""
"","229","Creating Analysis Event - Invalid Fields","Assurdly | Government APIs","Wed May 21 18:49:49 GMT 2025","passed","Wed May 21 18:49:50 GMT 2025","Single Event","Analysis Event","",""
"","224","Total Events Count - Empty Fields","Assurdly | Government APIs","Wed May 21 18:49:50 GMT 2025","failed","Wed May 21 18:49:51 GMT 2025","","Events Records","",""
"### Get Producer Total Events

This API endpoint is used to retrieve total events for a specific producer from the dashboard.

#### Request Body

- `request_type` (string, optional): Type of request.
    
- `product_type` (string, optional): Type of product.
    
- `fqs_type` (string): Type of FQS.
    
- `from_date` (string): Start date for the event search.
    
- `to_date` (string): End date for the event search.
    
- `product_category` (string, optional): Category of the product.
    

#### Response Body

The response is in JSON format and follows the schema below:

``` json
{
  ""Data"": [
    {
      ""event_id"": """",
      ""events_comments"": [
        {
          ""_id"": """",
          ""event_id"": """",
          ""comments"": """",
          ""user_name"": """",
          ""timestamp"": """"
        }
      ],
      ""event_type"": """",
      ""event_location"": {
        ""id"": """",
        ""name"": """"
      },
      ""trading_partner"": {
        ""id"": """",
        ""name"": """"
      },
      ""activity"": {
        ""type"": """",
        ""no"": """"
      },
      ""data_capture_time"": """",
      ""batches"": [
        {
          ""type"": """",
          ""manufacturer"": {
            ""id"": """",
            ""type"": """"
          },
          ""product"": {
            ""id"": """",
            ""type"": """"
          },
          ""product_instance"": {
            ""id"": """",
            ""type"": """"
          }
        }
      ]
    }
  ],
  ""Filters"": {
    ""manufacturer"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""tradPartner"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""eventLocation"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""productId"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""activityType"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""activityNumber"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""prodInstance"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ]
  }
}

 ```","229","Total Event - Empty Fields","Assurdly | Government APIs","Wed May 21 18:49:50 GMT 2025","failed","Wed May 21 18:49:50 GMT 2025","","Events Records","",""
"","227","Get Labels - Empty Fields","Assurdly | Government APIs","Wed May 21 18:49:46 GMT 2025","failed","Wed May 21 18:49:47 GMT 2025","Analysis > Get Labels (for Frontend Field Display)","Analysis Event","",""
"","229","Get all config types","Assurdly | Government APIs","Wed May 21 18:49:45 GMT 2025","passed","Wed May 21 18:49:45 GMT 2025","Analysis > Config Types","Analysis Event","",""
"","275","Get Product Instance List","Assurdly | Government APIs","Wed May 21 18:49:42 GMT 2025","passed","Wed May 21 18:49:43 GMT 2025","","Participant List","",""
"","228","Get Preference - Get Labels -","Assurdly | Government APIs","Wed May 21 18:49:46 GMT 2025","failed","Wed May 21 18:49:46 GMT 2025","Analysis > Get Preference","Analysis Event","",""
"","133","Login - Invalid Credentials - Missing Email","Assurdly | Government APIs","Wed May 21 18:49:40 GMT 2025","passed","Wed May 21 18:49:40 GMT 2025","Login","Authentication","",""
"","310","Get Producer Activity  - No Auth","Assurdly | Government APIs","Wed May 21 18:49:43 GMT 2025","passed","Wed May 21 18:49:44 GMT 2025","","Participant Activity","",""
"","230","Get Preference","Assurdly | Government APIs","Wed May 21 18:49:45 GMT 2025","passed","Wed May 21 18:49:46 GMT 2025","Analysis > Get Preference","Analysis Event","",""
"","309","Site Overview - No auth","Assurdly | Government APIs","Wed May 21 18:49:44 GMT 2025","passed","Wed May 21 18:49:45 GMT 2025","","Site Overview","",""
"","229","Get Company Type","Assurdly | Government APIs","Wed May 21 18:49:47 GMT 2025","passed","Wed May 21 18:49:47 GMT 2025","Analysis > Get Company Type","Analysis Event","",""
"","238","Total Event","Assurdly | Government APIs","Wed May 21 18:49:50 GMT 2025","passed","Wed May 21 18:49:50 GMT 2025","","Events Records","",""
"","233","Get Analysis Product Ids","Assurdly | Government APIs","Wed May 21 18:49:48 GMT 2025","passed","Wed May 21 18:49:48 GMT 2025","Analysis Product Ids","Analysis Event","",""
"","232","Get Analysis Manufacturers","Assurdly | Government APIs","Wed May 21 18:49:49 GMT 2025","passed","Wed May 21 18:49:49 GMT 2025","Analysis Instance Ids","Analysis Event","",""
