"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","231","Get Product Instance Invalid Field","Assurdly | Producer API","Fri May 23 18:49:37 GMT 2025","failed","Fri May 23 18:49:37 GMT 2025","","Product Instances","",""
"","255","Get Dashboard Filter","Assurdly | Producer API","Fri May 23 18:49:31 GMT 2025","passed","Fri May 23 18:49:31 GMT 2025","Overview > Stats","Dashboard","",""
"","223","Get all config types","Assurdly | Producer API","Fri May 23 18:49:38 GMT 2025","passed","Fri May 23 18:49:39 GMT 2025","Analysis > Config Types","Analysis Event","",""
"","299","Create Single Event - No Auth","Assurdly | Producer API","Fri May 23 18:49:36 GMT 2025","passed","Fri May 23 18:49:36 GMT 2025","Single Event","Transformation Event","",""
"","178","Tour Status","Assurdly | Producer API","Fri May 23 18:49:26 GMT 2025","passed","Fri May 23 18:49:26 GMT 2025","Tour","Home","",""
"","251","Create Single Event","Assurdly | Producer API","Fri May 23 18:49:36 GMT 2025","failed","Fri May 23 18:49:36 GMT 2025","Single Event","Transformation Event","",""
"","395","Get Product Instance Shared Government","Assurdly | Producer API","Fri May 23 18:49:32 GMT 2025","passed","Fri May 23 18:49:32 GMT 2025","","Shared With Government","",""
"","296","Get Sites","Assurdly | Producer API","Fri May 23 18:49:32 GMT 2025","passed","Fri May 23 18:49:33 GMT 2025","Transformation > Get Sites","Transformation Event","",""
"","220","Get Labels - Empty Fields","Assurdly | Producer API","Fri May 23 18:49:40 GMT 2025","failed","Fri May 23 18:49:40 GMT 2025","Analysis > Get Labels (for Frontend Field Display)","Analysis Event","",""
"","226","Get manufacturers","Assurdly | Producer API","Fri May 23 18:49:35 GMT 2025","passed","Fri May 23 18:49:35 GMT 2025","Transformation > Get Manufacturer","Transformation Event","",""
"","198","Login - Invalid Credentials","Assurdly | Producer API","Fri May 23 18:49:25 GMT 2025","passed","Fri May 23 18:49:25 GMT 2025","Login","Authentication","",""
"","228","Creating Analysis Event - Empty Fields","Assurdly | Producer API","Fri May 23 18:49:42 GMT 2025","passed","Fri May 23 18:49:43 GMT 2025","Single Event","Analysis Event","",""
"","303","Get manufacturers - No auth","Assurdly | Producer API","Fri May 23 18:49:35 GMT 2025","passed","Fri May 23 18:49:36 GMT 2025","Transformation > Get Manufacturer","Transformation Event","",""
"","220","Creating Analysis Event - Invalid Fields","Assurdly | Producer API","Fri May 23 18:49:43 GMT 2025","passed","Fri May 23 18:49:43 GMT 2025","Single Event","Analysis Event","",""
"","235","Get Product Shared Government Count Empty Field","Assurdly | Producer API","Fri May 23 18:49:31 GMT 2025","passed","Fri May 23 18:49:32 GMT 2025","","Shared With Government","",""
"","223","Get Product Instance Graph Invalid Field","Assurdly | Producer API","Fri May 23 18:49:37 GMT 2025","failed","Fri May 23 18:49:37 GMT 2025","","Product Instances","",""
"","220","Get Total Events Count Empty Field","Assurdly | Producer API","Fri May 23 18:49:38 GMT 2025","failed","Fri May 23 18:49:38 GMT 2025","","Events","",""
"","223","Get Sites","Assurdly | Producer API","Fri May 23 18:49:38 GMT 2025","passed","Fri May 23 18:49:38 GMT 2025","Analysis > Get Sites","Analysis Event","",""
"","300","Get Share FQS - No auth","Assurdly | Producer API","Fri May 23 18:49:44 GMT 2025","passed","Fri May 23 18:49:44 GMT 2025","","FQS","",""
"","302","Get FQS Invalid Field","Assurdly | Producer API","Fri May 23 18:49:43 GMT 2025","passed","Fri May 23 18:49:44 GMT 2025","","FQS","",""
"","121","Login - Invalid Credentials - Missing Password","Assurdly | Producer API","Fri May 23 18:49:25 GMT 2025","failed","Fri May 23 18:49:25 GMT 2025","Login","Authentication","",""
"","225","Get Analysis Product Ids","Assurdly | Producer API","Fri May 23 18:49:41 GMT 2025","passed","Fri May 23 18:49:41 GMT 2025","Analysis Product Ids","Analysis Event","",""
"","217","Get Preference - Empty Fields","Assurdly | Producer API","Fri May 23 18:49:39 GMT 2025","failed","Fri May 23 18:49:39 GMT 2025","Analysis > Get Preference","Analysis Event","",""
"","330","Notifications","Assurdly | Producer API","Fri May 23 18:49:26 GMT 2025","failed","Fri May 23 18:49:26 GMT 2025","Notification","Home","",""
"","212","Set uom Preference","Assurdly | Producer API","Fri May 23 18:49:27 GMT 2025","failed","Fri May 23 18:49:28 GMT 2025","Preference","Home","",""
"","220","Get Labels - Case Sensitive Event Type","Assurdly | Producer API","Fri May 23 18:49:40 GMT 2025","failed","Fri May 23 18:49:40 GMT 2025","Analysis > Get Labels (for Frontend Field Display)","Analysis Event","",""
"","1690","Get Dashboard Statistics","Assurdly | Producer API","Fri May 23 18:49:28 GMT 2025","passed","Fri May 23 18:49:29 GMT 2025","Overview > Stats","Dashboard","",""
"","250","Get FQS","Assurdly | Producer API","Fri May 23 18:49:43 GMT 2025","passed","Fri May 23 18:49:43 GMT 2025","","FQS","",""
"","214","Get Analysis Product Ids - Empty Fields","Assurdly | Producer API","Fri May 23 18:49:41 GMT 2025","passed","Fri May 23 18:49:41 GMT 2025","Analysis Product Ids","Analysis Event","",""
"","220","Get Total Event Empty Field","Assurdly | Producer API","Fri May 23 18:49:38 GMT 2025","failed","Fri May 23 18:49:38 GMT 2025","","Events","",""
"","221","Get Labels - Case Sensitive Event Type","Assurdly | Producer API","Fri May 23 18:49:34 GMT 2025","failed","Fri May 23 18:49:34 GMT 2025","Transformation > Get Labels (for Frontend Field Display)","Transformation Event","",""
"","123","Login - Invalid Credentials - Missing Email","Assurdly | Producer API","Fri May 23 18:49:25 GMT 2025","passed","Fri May 23 18:49:26 GMT 2025","Login","Authentication","",""
"","305","Get Product Instance Graph","Assurdly | Producer API","Fri May 23 18:49:37 GMT 2025","passed","Fri May 23 18:49:37 GMT 2025","","Product Instances","",""
"","218","Get product brand category","Assurdly | Producer API","Fri May 23 18:49:35 GMT 2025","passed","Fri May 23 18:49:35 GMT 2025","Transformation > Get Product Brand Category","Transformation Event","",""
"","214","Read Notification - Invalid Notification id","Assurdly | Producer API","Fri May 23 18:49:27 GMT 2025","failed","Fri May 23 18:49:27 GMT 2025","Notification","Home","",""
"","306","Read Notification - No Authorisation","Assurdly | Producer API","Fri May 23 18:49:27 GMT 2025","passed","Fri May 23 18:49:27 GMT 2025","Notification","Home","",""
