"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","305","Get Product Instance Shared with Government","Assurdly | Receiver API","Sun May 25 20:13:30 GMT 2025","failed","Sun May 25 20:13:31 GMT 2025","","Shared With Government","",""
"","150","Tour Status","Assurdly | Receiver API","Sun May 25 20:13:25 GMT 2025","passed","Sun May 25 20:13:25 GMT 2025","Tour","Home","",""
"","834","Login - Valid Credentials","Assurdly | Receiver API","Sun May 25 20:13:23 GMT 2025","passed","Sun May 25 20:13:23 GMT 2025","Login","Authentication","",""
"","271","Get Labels - Case Sensitive Event Type","Assurdly | Receiver API","Sun May 25 20:13:36 GMT 2025","failed","Sun May 25 20:13:37 GMT 2025","Receiving > Get Labels","Receiving Event","",""
"","547","Dashboard Filter - Empty Required Fields","Assurdly | Receiver API","Sun May 25 20:13:26 GMT 2025","failed","Sun May 25 20:13:27 GMT 2025","Stats","Dashboard","",""
"","375","Get trading partner -No auth","Assurdly | Receiver API","Sun May 25 20:13:33 GMT 2025","passed","Sun May 25 20:13:33 GMT 2025","Receiving > Get Trading Partner","Receiving Event","",""
"","269","Get Labels - Empty Fields Copy","Assurdly | Receiver API","Sun May 25 20:13:36 GMT 2025","failed","Sun May 25 20:13:36 GMT 2025","Receiving > Get Labels","Receiving Event","",""
"","381","Get activity numbers - No auth","Assurdly | Receiver API","Sun May 25 20:13:37 GMT 2025","passed","Sun May 25 20:13:38 GMT 2025","Receiving > Get Activity Numbers","Receiving Event","",""
"","269","get config types","Assurdly | Receiver API","Sun May 25 20:13:34 GMT 2025","passed","Sun May 25 20:13:34 GMT 2025","Receiving > Config Type","Receiving Event","",""
"","264","Set uom Preference - Empty Value","Assurdly | Receiver API","Sun May 25 20:13:26 GMT 2025","failed","Sun May 25 20:13:26 GMT 2025","Preference","Home","",""
"","143","Read Notification - Invalid Notification id","Assurdly | Receiver API","Sun May 25 20:13:24 GMT 2025","failed","Sun May 25 20:13:25 GMT 2025","Notification","Home","",""
"","320","Notifications","Assurdly | Receiver API","Sun May 25 20:13:24 GMT 2025","failed","Sun May 25 20:13:24 GMT 2025","Notification","Home","",""
"","267","get preference","Assurdly | Receiver API","Sun May 25 20:13:35 GMT 2025","passed","Sun May 25 20:13:35 GMT 2025","Receiving > Get Preference","Receiving Event","",""
"","212","Login - Invalid Credentials - No Authorization","Assurdly | Receiver API","Sun May 25 20:13:24 GMT 2025","passed","Sun May 25 20:13:24 GMT 2025","Login","Authentication","",""
"","326","Total Event","Assurdly | Receiver API","Sun May 25 20:13:27 GMT 2025","passed","Sun May 25 20:13:27 GMT 2025","","Events Records","",""
"","151","Login - Invalid Credentials - Missing Password","Assurdly | Receiver API","Sun May 25 20:13:24 GMT 2025","failed","Sun May 25 20:13:24 GMT 2025","Login","Authentication","",""
"","293","Get Product Instance - Invalid Request (missing or incomplete field)","Assurdly | Receiver API","Sun May 25 20:13:29 GMT 2025","failed","Sun May 25 20:13:29 GMT 2025","","Product Instances","",""
"","537","Get Product Instance Graph","Assurdly | Receiver API","Sun May 25 20:13:29 GMT 2025","passed","Sun May 25 20:13:30 GMT 2025","","Product Instances","",""
"","267","Total Events Count - Empty Fields","Assurdly | Receiver API","Sun May 25 20:13:28 GMT 2025","failed","Sun May 25 20:13:29 GMT 2025","","Events Records","",""
"","376","get preference -No auth","Assurdly | Receiver API","Sun May 25 20:13:35 GMT 2025","passed","Sun May 25 20:13:35 GMT 2025","Receiving > Get Preference","Receiving Event","",""
"","558","Get Product Instance Shared With Government Stats - Invalid Request (missing or incomplete field)","Assurdly | Receiver API","Sun May 25 20:13:31 GMT 2025","failed","Sun May 25 20:13:32 GMT 2025","","Shared With Government","",""
"","379","Get label - No auth","Assurdly | Receiver API","Sun May 25 20:13:36 GMT 2025","passed","Sun May 25 20:13:36 GMT 2025","Receiving > Get Labels","Receiving Event","",""
"","266","Get tooltip","Assurdly | Receiver API","Sun May 25 20:13:33 GMT 2025","passed","Sun May 25 20:13:33 GMT 2025","Receiving > Get Tooltips","Receiving Event","",""
"","268","Get producer record receiving","Assurdly | Receiver API","Sun May 25 20:13:37 GMT 2025","passed","Sun May 25 20:13:37 GMT 2025","Receiving > Get Producer Record Receiving","Receiving Event","",""
"","161","Get Product Instance Shared With Government Stats","Assurdly | Receiver API","Sun May 25 20:13:31 GMT 2025","broken","Sun May 25 20:13:31 GMT 2025","","Shared With Government","",""
"","305","Single event","Assurdly | Receiver API","Sun May 25 20:13:38 GMT 2025","passed","Sun May 25 20:13:38 GMT 2025","Single Event","Receiving Event","",""
