"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","257","Login - Invalid Credentials - Wrong Username or Password","Assurdly | Receiver API","Fri May 30 18:46:05 GMT 2025","passed","Fri May 30 18:46:05 GMT 2025","Login","Authentication","",""
"","347","get config types","Assurdly | Receiver API","Fri May 30 18:46:17 GMT 2025","passed","Fri May 30 18:46:18 GMT 2025","Receiving > Config Type","Receiving Event","",""
"","912","Login - Valid Credentials","Assurdly | Receiver API","Fri May 30 18:46:04 GMT 2025","passed","Fri May 30 18:46:05 GMT 2025","Login","Authentication","",""
"","345","Set uom Preference","Assurdly | Receiver API","Fri May 30 18:46:07 GMT 2025","failed","Fri May 30 18:46:07 GMT 2025","Preference","Home","",""
"","348","get preference","Assurdly | Receiver API","Fri May 30 18:46:18 GMT 2025","passed","Fri May 30 18:46:18 GMT 2025","Receiving > Get Preference","Receiving Event","",""
"","621","Get Product Instance Graph","Assurdly | Receiver API","Fri May 30 18:46:12 GMT 2025","passed","Fri May 30 18:46:12 GMT 2025","","Product Instances","",""
"","253","Login - Invalid Credentials - No Authorization","Assurdly | Receiver API","Fri May 30 18:46:05 GMT 2025","passed","Fri May 30 18:46:05 GMT 2025","Login","Authentication","",""
"","503","Get tooltip - No auth","Assurdly | Receiver API","Fri May 30 18:46:17 GMT 2025","passed","Fri May 30 18:46:17 GMT 2025","Receiving > Get Tooltips","Receiving Event","",""
"","185","Read Notification - Invalid Notification id","Assurdly | Receiver API","Fri May 30 18:46:06 GMT 2025","failed","Fri May 30 18:46:06 GMT 2025","Notification","Home","",""
"","496","Single event -No auth","Assurdly | Receiver API","Fri May 30 18:46:23 GMT 2025","passed","Fri May 30 18:46:23 GMT 2025","Single Event","Receiving Event","",""
"","619","Get Product Instance Graph Invalid Request (missing or incomplete field)","Assurdly | Receiver API","Fri May 30 18:46:12 GMT 2025","failed","Fri May 30 18:46:13 GMT 2025","","Product Instances","",""
"","499","Get producer record receiving - No auth","Assurdly | Receiver API","Fri May 30 18:46:21 GMT 2025","passed","Fri May 30 18:46:21 GMT 2025","Receiving > Get Producer Record Receiving","Receiving Event","",""
"","631","Dashboard Filter - Empty Required Fields","Assurdly | Receiver API","Fri May 30 18:46:08 GMT 2025","failed","Fri May 30 18:46:09 GMT 2025","Stats","Dashboard","",""
"","190","Tour Status","Assurdly | Receiver API","Fri May 30 18:46:06 GMT 2025","passed","Fri May 30 18:46:06 GMT 2025","Tour","Home","",""
"","354","Total Events Count","Assurdly | Receiver API","Fri May 30 18:46:10 GMT 2025","passed","Fri May 30 18:46:11 GMT 2025","","Events Records","",""
"","388","Get Product Instance Shared with Government - Invalid Request (missing or incomplete field)","Assurdly | Receiver API","Fri May 30 18:46:13 GMT 2025","failed","Fri May 30 18:46:14 GMT 2025","","Shared With Government","",""
"","500","Get trading partner -No auth","Assurdly | Receiver API","Fri May 30 18:46:16 GMT 2025","passed","Fri May 30 18:46:16 GMT 2025","Receiving > Get Trading Partner","Receiving Event","",""
"","370","Notifications","Assurdly | Receiver API","Fri May 30 18:46:05 GMT 2025","failed","Fri May 30 18:46:06 GMT 2025","Notification","Home","",""
"","348","Get uom Preference","Assurdly | Receiver API","Fri May 30 18:46:07 GMT 2025","failed","Fri May 30 18:46:07 GMT 2025","Preference","Home","",""
"","259","Get Product Instance Shared With Government Stats","Assurdly | Receiver API","Fri May 30 18:46:14 GMT 2025","broken","Fri May 30 18:46:14 GMT 2025","","Shared With Government","",""
"","371","Get Product Instance - Invalid Request (missing or incomplete field)","Assurdly | Receiver API","Fri May 30 18:46:11 GMT 2025","failed","Fri May 30 18:46:12 GMT 2025","","Product Instances","",""
"","346","Get label","Assurdly | Receiver API","Fri May 30 18:46:19 GMT 2025","passed","Fri May 30 18:46:20 GMT 2025","Receiving > Get Labels","Receiving Event","",""
"","355","Participant Detail","Assurdly | Receiver API","Fri May 30 18:46:06 GMT 2025","passed","Fri May 30 18:46:07 GMT 2025","participant","Home","",""
"","352","Get activity numbers","Assurdly | Receiver API","Fri May 30 18:46:22 GMT 2025","passed","Fri May 30 18:46:23 GMT 2025","Receiving > Get Activity Numbers","Receiving Event","",""
"### Get Producer Total Events

This API endpoint is used to retrieve total events for a specific producer from the dashboard.

#### Request Body

- `request_type` (string, optional): Type of request.
    
- `product_type` (string, optional): Type of product.
    
- `fqs_type` (string): Type of FQS.
    
- `from_date` (string): Start date for the event search.
    
- `to_date` (string): End date for the event search.
    
- `product_category` (string, optional): Category of the product.
    

#### Response Body

The response is in JSON format and follows the schema below:

``` json
{
  ""Data"": [
    {
      ""event_id"": """",
      ""events_comments"": [
        {
          ""_id"": """",
          ""event_id"": """",
          ""comments"": """",
          ""user_name"": """",
          ""timestamp"": """"
        }
      ],
      ""event_type"": """",
      ""event_location"": {
        ""id"": """",
        ""name"": """"
      },
      ""trading_partner"": {
        ""id"": """",
        ""name"": """"
      },
      ""activity"": {
        ""type"": """",
        ""no"": """"
      },
      ""data_capture_time"": """",
      ""batches"": [
        {
          ""type"": """",
          ""manufacturer"": {
            ""id"": """",
            ""type"": """"
          },
          ""product"": {
            ""id"": """",
            ""type"": """"
          },
          ""product_instance"": {
            ""id"": """",
            ""type"": """"
          }
        }
      ]
    }
  ],
  ""Filters"": {
    ""manufacturer"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""tradPartner"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""eventLocation"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""productId"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""activityType"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""activityNumber"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""prodInstance"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ]
  }
}

 ```","1000","Total Event - Empty Fields","Assurdly | Receiver API","Fri May 30 18:46:09 GMT 2025","failed","Fri May 30 18:46:10 GMT 2025","","Events Records","",""
"","497","get preference -No auth","Assurdly | Receiver API","Fri May 30 18:46:18 GMT 2025","passed","Fri May 30 18:46:19 GMT 2025","Receiving > Get Preference","Receiving Event","",""
"","346","Get sites","Assurdly | Receiver API","Fri May 30 18:46:15 GMT 2025","passed","Fri May 30 18:46:15 GMT 2025","Receiving > Get Sites","Receiving Event","",""
"","190","Login - Invalid Credentials - Missing Password","Assurdly | Receiver API","Fri May 30 18:46:05 GMT 2025","failed","Fri May 30 18:46:05 GMT 2025","Login","Authentication","",""
"","383","Single event","Assurdly | Receiver API","Fri May 30 18:46:23 GMT 2025","passed","Fri May 30 18:46:23 GMT 2025","Single Event","Receiving Event","",""
"","499","Get label - No auth","Assurdly | Receiver API","Fri May 30 18:46:20 GMT 2025","passed","Fri May 30 18:46:20 GMT 2025","Receiving > Get Labels","Receiving Event","",""
"","348","Set uom Preference - Empty Value","Assurdly | Receiver API","Fri May 30 18:46:07 GMT 2025","failed","Fri May 30 18:46:08 GMT 2025","Preference","Home","",""
"","641","Get Product Instance Shared With Government Stats - Invalid Request (missing or incomplete field)","Assurdly | Receiver API","Fri May 30 18:46:14 GMT 2025","failed","Fri May 30 18:46:15 GMT 2025","","Shared With Government","",""
"","351","Get Labels - Case Sensitive Event Type","Assurdly | Receiver API","Fri May 30 18:46:21 GMT 2025","failed","Fri May 30 18:46:21 GMT 2025","Receiving > Get Labels","Receiving Event","",""
"","404","Total Event","Assurdly | Receiver API","Fri May 30 18:46:09 GMT 2025","passed","Fri May 30 18:46:09 GMT 2025","","Events Records","",""
"","349","Get Preference - Empty Fields","Assurdly | Receiver API","Fri May 30 18:46:19 GMT 2025","failed","Fri May 30 18:46:19 GMT 2025","Receiving > Get Preference","Receiving Event","",""
"","378","Get Product Instance","Assurdly | Receiver API","Fri May 30 18:46:11 GMT 2025","failed","Fri May 30 18:46:11 GMT 2025","","Product Instances","",""
"","502","Get activity numbers - No auth","Assurdly | Receiver API","Fri May 30 18:46:22 GMT 2025","passed","Fri May 30 18:46:22 GMT 2025","Receiving > Get Activity Numbers","Receiving Event","",""
"","350","Get producer record receiving","Assurdly | Receiver API","Fri May 30 18:46:21 GMT 2025","passed","Fri May 30 18:46:22 GMT 2025","Receiving > Get Producer Record Receiving","Receiving Event","",""
"","391","Get Product Instance Shared with Government","Assurdly | Receiver API","Fri May 30 18:46:13 GMT 2025","failed","Fri May 30 18:46:13 GMT 2025","","Shared With Government","",""
"","504","Get sites - No auth","Assurdly | Receiver API","Fri May 30 18:46:15 GMT 2025","passed","Fri May 30 18:46:16 GMT 2025","Receiving > Get Sites","Receiving Event","",""
"","349","Total Events Count - Empty Fields","Assurdly | Receiver API","Fri May 30 18:46:11 GMT 2025","failed","Fri May 30 18:46:11 GMT 2025","","Events Records","",""
"","347","Get tooltip","Assurdly | Receiver API","Fri May 30 18:46:16 GMT 2025","passed","Fri May 30 18:46:17 GMT 2025","Receiving > Get Tooltips","Receiving Event","",""
"","622","Dashboard Filter","Assurdly | Receiver API","Fri May 30 18:46:08 GMT 2025","passed","Fri May 30 18:46:08 GMT 2025","Stats","Dashboard","",""
"","187","Read Notification","Assurdly | Receiver API","Fri May 30 18:46:06 GMT 2025","passed","Fri May 30 18:46:06 GMT 2025","Notification","Home","",""
"","345","Get trading partner","Assurdly | Receiver API","Fri May 30 18:46:16 GMT 2025","passed","Fri May 30 18:46:16 GMT 2025","Receiving > Get Trading Partner","Receiving Event","",""
"","502","get config types -No auth","Assurdly | Receiver API","Fri May 30 18:46:18 GMT 2025","passed","Fri May 30 18:46:18 GMT 2025","Receiving > Config Type","Receiving Event","",""
"","350","Get Labels - Empty Fields Copy","Assurdly | Receiver API","Fri May 30 18:46:20 GMT 2025","failed","Fri May 30 18:46:21 GMT 2025","Receiving > Get Labels","Receiving Event","",""
