"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","206","Login - Invalid Credentials","Assurdly | Government APIs","Fri May 30 18:48:53 GMT 2025","passed","Fri May 30 18:48:53 GMT 2025","Login","Authentication","",""
"","232","Get Preference","Assurdly | Government APIs","Fri May 30 18:48:54 GMT 2025","failed","Fri May 30 18:48:54 GMT 2025","Preference > Fetch UOM Preference","Home","",""
"","252","Total Event","Assurdly | Government APIs","Fri May 30 18:49:02 GMT 2025","passed","Fri May 30 18:49:02 GMT 2025","","Events Records","",""
"","222","Get Analysis Product Ids","Assurdly | Government APIs","Fri May 30 18:49:00 GMT 2025","passed","Fri May 30 18:49:00 GMT 2025","Analysis Product Ids","Analysis Event","",""
"","124","Login - Invalid Credentials - Missing Password","Assurdly | Government APIs","Fri May 30 18:48:53 GMT 2025","failed","Fri May 30 18:48:53 GMT 2025","Login","Authentication","",""
"","300","Get Product Instance List Copy","Assurdly | Government APIs","Fri May 30 18:48:55 GMT 2025","passed","Fri May 30 18:48:56 GMT 2025","","Participant List","",""
"","220","Get Analysis Manufacturers - Empty Fields","Assurdly | Government APIs","Fri May 30 18:49:00 GMT 2025","passed","Fri May 30 18:49:00 GMT 2025","Analysis Manufacturers","Analysis Event","",""
"","125","Read Notification - Invalid Notification id","Assurdly | Government APIs","Fri May 30 18:48:54 GMT 2025","failed","Fri May 30 18:48:54 GMT 2025","Notification","Home","",""
"","226","Get Analysis Manufacturers","Assurdly | Government APIs","Fri May 30 18:49:00 GMT 2025","passed","Fri May 30 18:49:00 GMT 2025","Analysis Manufacturers","Analysis Event","",""
"","268","Get Product Instance List","Assurdly | Government APIs","Fri May 30 18:48:55 GMT 2025","passed","Fri May 30 18:48:55 GMT 2025","","Participant List","",""
"","216","Get Labels","Assurdly | Government APIs","Fri May 30 18:48:59 GMT 2025","passed","Fri May 30 18:48:59 GMT 2025","Analysis > Get Labels (for Frontend Field Display)","Analysis Event","",""
"","220","Get Preference - Empty Fields","Assurdly | Government APIs","Fri May 30 18:48:58 GMT 2025","failed","Fri May 30 18:48:58 GMT 2025","Analysis > Get Preference","Analysis Event","",""
"","224","Get Preference","Assurdly | Government APIs","Fri May 30 18:48:58 GMT 2025","passed","Fri May 30 18:48:58 GMT 2025","Analysis > Get Preference","Analysis Event","",""
"","214","Set uom Preference - Empty Value","Assurdly | Government APIs","Fri May 30 18:48:55 GMT 2025","failed","Fri May 30 18:48:55 GMT 2025","Preference > Set UOM Preference","Home","",""
"","273","Get Producer Activity","Assurdly | Government APIs","Fri May 30 18:48:56 GMT 2025","passed","Fri May 30 18:48:56 GMT 2025","","Participant Activity","",""
"","130","Participant Details","Assurdly | Government APIs","Fri May 30 18:48:54 GMT 2025","failed","Fri May 30 18:48:54 GMT 2025","participant","Home","",""
"","264","Get Product Instance List","Assurdly | Government APIs","Fri May 30 18:48:56 GMT 2025","passed","Fri May 30 18:48:57 GMT 2025","","Product Instances","",""
"","222","Get Tooltips","Assurdly | Government APIs","Fri May 30 18:48:59 GMT 2025","passed","Fri May 30 18:48:59 GMT 2025","Analysis > Get Tooltips","Analysis Event","",""
"","221","Dashboard Filter - Empty Required Fields","Assurdly | Government APIs","Fri May 30 18:48:55 GMT 2025","failed","Fri May 30 18:48:55 GMT 2025","Stats","Dashboard","",""
"","219","Creating Analysis Event - Invalid Fields","Assurdly | Government APIs","Fri May 30 18:49:02 GMT 2025","passed","Fri May 30 18:49:02 GMT 2025","Single Event","Analysis Event","",""
"","734","Login - Valid Credentials","Assurdly | Government APIs","Fri May 30 18:48:52 GMT 2025","passed","Fri May 30 18:48:53 GMT 2025","Login","Authentication","",""
"","219","Get Analysis Manufacturers","Assurdly | Government APIs","Fri May 30 18:49:01 GMT 2025","passed","Fri May 30 18:49:01 GMT 2025","Analysis Manufacturers","Analysis Event","",""
"","223","Creating Analysis Event","Assurdly | Government APIs","Fri May 30 18:49:01 GMT 2025","failed","Fri May 30 18:49:02 GMT 2025","Single Event","Analysis Event","",""
"","221","Get Company Type","Assurdly | Government APIs","Fri May 30 18:48:59 GMT 2025","passed","Fri May 30 18:49:00 GMT 2025","Analysis > Get Company Type","Analysis Event","",""
"","217","Total Events Count - Empty Fields","Assurdly | Government APIs","Fri May 30 18:49:03 GMT 2025","failed","Fri May 30 18:49:03 GMT 2025","","Events Records","",""
"","211","Tour Status","Assurdly | Government APIs","Fri May 30 18:48:54 GMT 2025","passed","Fri May 30 18:48:54 GMT 2025","Tour","Home","",""
"","217","Total Events Count","Assurdly | Government APIs","Fri May 30 18:49:02 GMT 2025","passed","Fri May 30 18:49:03 GMT 2025","","Events Records","",""
"","223","Site Overview","Assurdly | Government APIs","Fri May 30 18:48:57 GMT 2025","passed","Fri May 30 18:48:57 GMT 2025","","Site Overview","",""
"","301","Site Overview - No auth","Assurdly | Government APIs","Fri May 30 18:48:57 GMT 2025","passed","Fri May 30 18:48:57 GMT 2025","","Site Overview","",""
"","190","Notifications","Assurdly | Government APIs","Fri May 30 18:48:53 GMT 2025","failed","Fri May 30 18:48:53 GMT 2025","Notification","Home","",""
"","127","Read Notification","Assurdly | Government APIs","Fri May 30 18:48:53 GMT 2025","passed","Fri May 30 18:48:54 GMT 2025","Notification","Home","",""
"","123","Login - Invalid Credentials - Missing Email","Assurdly | Government APIs","Fri May 30 18:48:53 GMT 2025","passed","Fri May 30 18:48:53 GMT 2025","Login","Authentication","",""
"","304","Get Product Instance List  - No Auth","Assurdly | Government APIs","Fri May 30 18:48:57 GMT 2025","passed","Fri May 30 18:48:57 GMT 2025","","Product Instances","",""
"","220","Get Analysis Manufacturers","Assurdly | Government APIs","Fri May 30 18:49:01 GMT 2025","passed","Fri May 30 18:49:01 GMT 2025","Analysis Instance Ids","Analysis Event","",""
"### Get Producer Total Events

This API endpoint is used to retrieve total events for a specific producer from the dashboard.

#### Request Body

- `request_type` (string, optional): Type of request.
    
- `product_type` (string, optional): Type of product.
    
- `fqs_type` (string): Type of FQS.
    
- `from_date` (string): Start date for the event search.
    
- `to_date` (string): End date for the event search.
    
- `product_category` (string, optional): Category of the product.
    

#### Response Body

The response is in JSON format and follows the schema below:

``` json
{
  ""Data"": [
    {
      ""event_id"": """",
      ""events_comments"": [
        {
          ""_id"": """",
          ""event_id"": """",
          ""comments"": """",
          ""user_name"": """",
          ""timestamp"": """"
        }
      ],
      ""event_type"": """",
      ""event_location"": {
        ""id"": """",
        ""name"": """"
      },
      ""trading_partner"": {
        ""id"": """",
        ""name"": """"
      },
      ""activity"": {
        ""type"": """",
        ""no"": """"
      },
      ""data_capture_time"": """",
      ""batches"": [
        {
          ""type"": """",
          ""manufacturer"": {
            ""id"": """",
            ""type"": """"
          },
          ""product"": {
            ""id"": """",
            ""type"": """"
          },
          ""product_instance"": {
            ""id"": """",
            ""type"": """"
          }
        }
      ]
    }
  ],
  ""Filters"": {
    ""manufacturer"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""tradPartner"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""eventLocation"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""productId"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""activityType"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""activityNumber"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ],
    ""prodInstance"": [
      {
        ""value"": """",
        ""label"": """"
      }
    ]
  }
}

 ```","221","Total Event - Empty Fields","Assurdly | Government APIs","Fri May 30 18:49:02 GMT 2025","failed","Fri May 30 18:49:02 GMT 2025","","Events Records","",""
"","225","Get all config types","Assurdly | Government APIs","Fri May 30 18:48:58 GMT 2025","passed","Fri May 30 18:48:58 GMT 2025","Analysis > Config Types","Analysis Event","",""
"","244","Get Sites","Assurdly | Government APIs","Fri May 30 18:48:57 GMT 2025","passed","Fri May 30 18:48:58 GMT 2025","Analysis > Get Sites","Analysis Event","",""
"","223","Get Preference - Get Labels -","Assurdly | Government APIs","Fri May 30 18:48:58 GMT 2025","failed","Fri May 30 18:48:59 GMT 2025","Analysis > Get Preference","Analysis Event","",""
"","228","Set Preference","Assurdly | Government APIs","Fri May 30 18:48:54 GMT 2025","failed","Fri May 30 18:48:55 GMT 2025","Preference > Set UOM Preference","Home","",""
