"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","270","Get Product Instance Shared With Government Stats","Assurdly | Receiver API","Fri Jun 06 18:46:56 GMT 2025","broken","Fri Jun 06 18:46:57 GMT 2025","","Shared With Government","",""
"","281","Get Labels - Empty Fields Copy","Assurdly | Receiver API","Fri Jun 06 18:47:02 GMT 2025","failed","Fri Jun 06 18:47:02 GMT 2025","Receiving > Get Labels","Receiving Event","",""
"","315","Single event","Assurdly | Receiver API","Fri Jun 06 18:47:04 GMT 2025","passed","Fri Jun 06 18:47:04 GMT 2025","Single Event","Receiving Event","",""
"","560","Get Product Instance Graph Invalid Request (missing or incomplete field)","Assurdly | Receiver API","Fri Jun 06 18:46:55 GMT 2025","failed","Fri Jun 06 18:46:56 GMT 2025","","Product Instances","",""
"","280","get preference","Assurdly | Receiver API","Fri Jun 06 18:47:00 GMT 2025","passed","Fri Jun 06 18:47:00 GMT 2025","Receiving > Get Preference","Receiving Event","",""
"","157","Tour Status","Assurdly | Receiver API","Fri Jun 06 18:46:50 GMT 2025","passed","Fri Jun 06 18:46:50 GMT 2025","Tour","Home","",""
"","393","Single event -No auth","Assurdly | Receiver API","Fri Jun 06 18:47:04 GMT 2025","passed","Fri Jun 06 18:47:04 GMT 2025","Single Event","Receiving Event","",""
"","282","Get uom Preference","Assurdly | Receiver API","Fri Jun 06 18:46:50 GMT 2025","failed","Fri Jun 06 18:46:51 GMT 2025","Preference","Home","",""
"","400","Get activity numbers - No auth","Assurdly | Receiver API","Fri Jun 06 18:47:03 GMT 2025","passed","Fri Jun 06 18:47:03 GMT 2025","Receiving > Get Activity Numbers","Receiving Event","",""
"","279","Total Events Count - Empty Fields","Assurdly | Receiver API","Fri Jun 06 18:46:54 GMT 2025","failed","Fri Jun 06 18:46:54 GMT 2025","","Events Records","",""
"","279","get config types","Assurdly | Receiver API","Fri Jun 06 18:46:59 GMT 2025","passed","Fri Jun 06 18:47:00 GMT 2025","Receiving > Config Type","Receiving Event","",""
"","297","Get sites","Assurdly | Receiver API","Fri Jun 06 18:46:57 GMT 2025","passed","Fri Jun 06 18:46:58 GMT 2025","Receiving > Get Sites","Receiving Event","",""
"","152","Read Notification - Invalid Notification id","Assurdly | Receiver API","Fri Jun 06 18:46:50 GMT 2025","failed","Fri Jun 06 18:46:50 GMT 2025","Notification","Home","",""
