"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","215","Login - Invalid Credentials - No Authorization","Assurdly | Receiver API","Sun Jun 08 20:13:37 GMT 2025","passed","Sun Jun 08 20:13:37 GMT 2025","Login","Authentication","",""
"","402","Single event -No auth","Assurdly | Receiver API","Sun Jun 08 20:13:52 GMT 2025","passed","Sun Jun 08 20:13:52 GMT 2025","Single Event","Receiving Event","",""
"","285","Get activity numbers","Assurdly | Receiver API","Sun Jun 08 20:13:51 GMT 2025","passed","Sun Jun 08 20:13:51 GMT 2025","Receiving > Get Activity Numbers","Receiving Event","",""
"","286","Get Labels - Case Sensitive Event Type","Assurdly | Receiver API","Sun Jun 08 20:13:50 GMT 2025","failed","Sun Jun 08 20:13:50 GMT 2025","Receiving > Get Labels","Receiving Event","",""
"","282","Total Events Count - Empty Fields","Assurdly | Receiver API","Sun Jun 08 20:13:42 GMT 2025","failed","Sun Jun 08 20:13:42 GMT 2025","","Events Records","",""
"","154","Read Notification - Invalid Notification id","Assurdly | Receiver API","Sun Jun 08 20:13:37 GMT 2025","failed","Sun Jun 08 20:13:38 GMT 2025","Notification","Home","",""
"","567","Dashboard Filter","Assurdly | Receiver API","Sun Jun 08 20:13:39 GMT 2025","passed","Sun Jun 08 20:13:40 GMT 2025","Stats","Dashboard","",""
"","158","Tour Status","Assurdly | Receiver API","Sun Jun 08 20:13:38 GMT 2025","passed","Sun Jun 08 20:13:38 GMT 2025","Tour","Home","",""
"","281","Set uom Preference","Assurdly | Receiver API","Sun Jun 08 20:13:38 GMT 2025","failed","Sun Jun 08 20:13:39 GMT 2025","Preference","Home","",""
"","285","get config types","Assurdly | Receiver API","Sun Jun 08 20:13:47 GMT 2025","passed","Sun Jun 08 20:13:47 GMT 2025","Receiving > Config Type","Receiving Event","",""
"","154","Login - Invalid Credentials - Missing Password","Assurdly | Receiver API","Sun Jun 08 20:13:37 GMT 2025","failed","Sun Jun 08 20:13:37 GMT 2025","Login","Authentication","",""
"","1015","Login - Valid Credentials","Assurdly | Receiver API","Sun Jun 08 20:13:35 GMT 2025","passed","Sun Jun 08 20:13:36 GMT 2025","Login","Authentication","",""
