"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","309","Get Product Instance","Assurdly | Receiver API","Wed Jun 11 18:47:47 GMT 2025","failed","Wed Jun 11 18:47:48 GMT 2025","","Product Instances","",""
"","235","Login - Invalid Credentials - Wrong Username or Password","Assurdly | Receiver API","Wed Jun 11 18:47:42 GMT 2025","passed","Wed Jun 11 18:47:42 GMT 2025","Login","Authentication","",""
"","578","Get Product Instance Shared With Government Stats - Invalid Request (missing or incomplete field)","Assurdly | Receiver API","Wed Jun 11 18:47:50 GMT 2025","failed","Wed Jun 11 18:47:50 GMT 2025","","Shared With Government","",""
"","365","Get sites","Assurdly | Receiver API","Wed Jun 11 18:47:50 GMT 2025","passed","Wed Jun 11 18:47:51 GMT 2025","Receiving > Get Sites","Receiving Event","",""
"","283","Get Preference - Empty Fields","Assurdly | Receiver API","Wed Jun 11 18:47:54 GMT 2025","failed","Wed Jun 11 18:47:54 GMT 2025","Receiving > Get Preference","Receiving Event","",""
"","157","Tour Status","Assurdly | Receiver API","Wed Jun 11 18:47:43 GMT 2025","passed","Wed Jun 11 18:47:43 GMT 2025","Tour","Home","",""
"","152","Login - Invalid Credentials - Missing Password","Assurdly | Receiver API","Wed Jun 11 18:47:42 GMT 2025","failed","Wed Jun 11 18:47:42 GMT 2025","Login","Authentication","",""
"","341","Total Event","Assurdly | Receiver API","Wed Jun 11 18:47:46 GMT 2025","passed","Wed Jun 11 18:47:46 GMT 2025","","Events Records","",""
"","277","Get tooltip","Assurdly | Receiver API","Wed Jun 11 18:47:52 GMT 2025","passed","Wed Jun 11 18:47:52 GMT 2025","Receiving > Get Tooltips","Receiving Event","",""
"","281","Total Events Count - Empty Fields","Assurdly | Receiver API","Wed Jun 11 18:47:47 GMT 2025","failed","Wed Jun 11 18:47:47 GMT 2025","","Events Records","",""
"","410","get preference -No auth","Assurdly | Receiver API","Wed Jun 11 18:47:54 GMT 2025","passed","Wed Jun 11 18:47:54 GMT 2025","Receiving > Get Preference","Receiving Event","",""
"","569","Dashboard Filter - Empty Required Fields","Assurdly | Receiver API","Wed Jun 11 18:47:45 GMT 2025","failed","Wed Jun 11 18:47:46 GMT 2025","Stats","Dashboard","",""
"","280","Get Labels - Empty Fields Copy","Assurdly | Receiver API","Wed Jun 11 18:47:55 GMT 2025","failed","Wed Jun 11 18:47:55 GMT 2025","Receiving > Get Labels","Receiving Event","",""
"","151","Read Notification - Invalid Notification id","Assurdly | Receiver API","Wed Jun 11 18:47:43 GMT 2025","failed","Wed Jun 11 18:47:43 GMT 2025","Notification","Home","",""
"","322","Get Product Instance Shared with Government - Invalid Request (missing or incomplete field)","Assurdly | Receiver API","Wed Jun 11 18:47:49 GMT 2025","failed","Wed Jun 11 18:47:50 GMT 2025","","Shared With Government","",""
"","279","Get uom Preference","Assurdly | Receiver API","Wed Jun 11 18:47:44 GMT 2025","failed","Wed Jun 11 18:47:44 GMT 2025","Preference","Home","",""
"","278","Get trading partner","Assurdly | Receiver API","Wed Jun 11 18:47:51 GMT 2025","passed","Wed Jun 11 18:47:52 GMT 2025","Receiving > Get Trading Partner","Receiving Event","",""
"","283","get preference","Assurdly | Receiver API","Wed Jun 11 18:47:53 GMT 2025","passed","Wed Jun 11 18:47:54 GMT 2025","Receiving > Get Preference","Receiving Event","",""
"","213","Get Product Instance Shared With Government Stats","Assurdly | Receiver API","Wed Jun 11 18:47:50 GMT 2025","broken","Wed Jun 11 18:47:50 GMT 2025","","Shared With Government","",""
"","563","Get Product Instance Graph","Assurdly | Receiver API","Wed Jun 11 18:47:48 GMT 2025","passed","Wed Jun 11 18:47:48 GMT 2025","","Product Instances","",""
"","396","Get producer record receiving - No auth","Assurdly | Receiver API","Wed Jun 11 18:47:56 GMT 2025","passed","Wed Jun 11 18:47:56 GMT 2025","Receiving > Get Producer Record Receiving","Receiving Event","",""
"","398","get config types -No auth","Assurdly | Receiver API","Wed Jun 11 18:47:53 GMT 2025","passed","Wed Jun 11 18:47:53 GMT 2025","Receiving > Config Type","Receiving Event","",""
