"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","272","Get Product Instance Graph Invalid Field","Assurdly | Producer API","Wed Jun 11 18:50:08 GMT 2025","failed","Wed Jun 11 18:50:08 GMT 2025","","Product Instances","",""
"","230","Tour Status","Assurdly | Producer API","Wed Jun 11 18:49:55 GMT 2025","passed","Wed Jun 11 18:49:55 GMT 2025","Tour","Home","",""
"","383","Get Analysis Manufacturers - No Auth","Assurdly | Producer API","Wed Jun 11 18:50:14 GMT 2025","passed","Wed Jun 11 18:50:14 GMT 2025","Analysis Manufacturers","Analysis Event","",""
"","150","Login - Invalid Credentials - Missing Email","Assurdly | Producer API","Wed Jun 11 18:49:55 GMT 2025","passed","Wed Jun 11 18:49:55 GMT 2025","Login","Authentication","",""
"","275","Get all config types","Assurdly | Producer API","Wed Jun 11 18:50:10 GMT 2025","passed","Wed Jun 11 18:50:10 GMT 2025","Analysis > Config Types","Analysis Event","",""
"","267","Create Bulk Event","Assurdly | Producer API","Wed Jun 11 18:50:15 GMT 2025","failed","Wed Jun 11 18:50:16 GMT 2025","","Analysis Event","",""
"","270","Get all config types","Assurdly | Producer API","Wed Jun 11 18:50:03 GMT 2025","passed","Wed Jun 11 18:50:03 GMT 2025","Transformation > Config Types","Transformation Event","",""
"","269","Get Analysis Manufacturers","Assurdly | Producer API","Wed Jun 11 18:50:14 GMT 2025","passed","Wed Jun 11 18:50:15 GMT 2025","Analysis Instance Ids","Analysis Event","",""
"","273","Get Preference - Empty Fields","Assurdly | Producer API","Wed Jun 11 18:50:03 GMT 2025","failed","Wed Jun 11 18:50:04 GMT 2025","Transformation > Get Preference","Transformation Event","",""
"","275","Get Analysis Product Ids - Empty Fields","Assurdly | Producer API","Wed Jun 11 18:50:13 GMT 2025","passed","Wed Jun 11 18:50:14 GMT 2025","Analysis Product Ids","Analysis Event","",""
"","286","Get Labels - Case Sensitive Event Type","Assurdly | Producer API","Wed Jun 11 18:50:12 GMT 2025","failed","Wed Jun 11 18:50:12 GMT 2025","Analysis > Get Labels (for Frontend Field Display)","Analysis Event","",""
"","282","Get Product Shared Government Count Empty Field","Assurdly | Producer API","Wed Jun 11 18:50:01 GMT 2025","passed","Wed Jun 11 18:50:02 GMT 2025","","Shared With Government","",""
"","381","Create Single Event - No Auth","Assurdly | Producer API","Wed Jun 11 18:50:07 GMT 2025","passed","Wed Jun 11 18:50:07 GMT 2025","Single Event","Transformation Event","",""
"","265","Get Share FQS Invalid Field","Assurdly | Producer API","Wed Jun 11 18:50:17 GMT 2025","passed","Wed Jun 11 18:50:17 GMT 2025","","FQS","",""
"","267","Get Analysis Manufacturers","Assurdly | Producer API","Wed Jun 11 18:50:13 GMT 2025","passed","Wed Jun 11 18:50:13 GMT 2025","Analysis Manufacturers","Analysis Event","",""
"","279","Get Preference","Assurdly | Producer API","Wed Jun 11 18:50:10 GMT 2025","passed","Wed Jun 11 18:50:11 GMT 2025","Analysis > Get Preference","Analysis Event","",""
"","322","Get Product Shared Government Count","Assurdly | Producer API","Wed Jun 11 18:50:01 GMT 2025","passed","Wed Jun 11 18:50:01 GMT 2025","","Shared With Government","",""
"","1746","Get Dashboard Statistics","Assurdly | Producer API","Wed Jun 11 18:49:58 GMT 2025","passed","Wed Jun 11 18:49:59 GMT 2025","Overview > Stats","Dashboard","",""
"","266","Get manufacturers","Assurdly | Producer API","Wed Jun 11 18:50:06 GMT 2025","passed","Wed Jun 11 18:50:06 GMT 2025","Transformation > Get Manufacturer","Transformation Event","",""
"","269","Get Company Type","Assurdly | Producer API","Wed Jun 11 18:50:12 GMT 2025","passed","Wed Jun 11 18:50:13 GMT 2025","Analysis > Get Company Type","Analysis Event","",""
"","271","Get Preference","Assurdly | Producer API","Wed Jun 11 18:50:03 GMT 2025","passed","Wed Jun 11 18:50:03 GMT 2025","Transformation > Get Preference","Transformation Event","",""
"","262","Set uom Preference","Assurdly | Producer API","Wed Jun 11 18:49:57 GMT 2025","failed","Wed Jun 11 18:49:57 GMT 2025","Preference","Home","",""
"","275","Creating Analysis Event","Assurdly | Producer API","Wed Jun 11 18:50:15 GMT 2025","failed","Wed Jun 11 18:50:15 GMT 2025","Single Event","Analysis Event","",""
"","277","Get Labels","Assurdly | Producer API","Wed Jun 11 18:50:11 GMT 2025","passed","Wed Jun 11 18:50:12 GMT 2025","Analysis > Get Labels (for Frontend Field Display)","Analysis Event","",""
"","269","Get uom Preference","Assurdly | Producer API","Wed Jun 11 18:49:57 GMT 2025","failed","Wed Jun 11 18:49:57 GMT 2025","Preference","Home","",""
