"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","196","Participant Details","Assurdly | Government APIs","Wed Jun 11 18:51:15 GMT 2025","failed","Wed Jun 11 18:51:15 GMT 2025","participant","Home","",""
"","505","Get Product Instance List  - No Auth","Assurdly | Government APIs","Wed Jun 11 18:51:19 GMT 2025","passed","Wed Jun 11 18:51:19 GMT 2025","","Product Instances","",""
"","357","Get Analysis Manufacturers","Assurdly | Government APIs","Wed Jun 11 18:51:25 GMT 2025","passed","Wed Jun 11 18:51:26 GMT 2025","Analysis Manufacturers","Analysis Event","",""
"","506","Get Product Instance List Copy","Assurdly | Government APIs","Wed Jun 11 18:51:17 GMT 2025","passed","Wed Jun 11 18:51:18 GMT 2025","","Participant List","",""
"","364","Total Event","Assurdly | Government APIs","Wed Jun 11 18:51:28 GMT 2025","passed","Wed Jun 11 18:51:28 GMT 2025","","Events Records","",""
"","357","Get Preference","Assurdly | Government APIs","Wed Jun 11 18:51:21 GMT 2025","passed","Wed Jun 11 18:51:21 GMT 2025","Analysis > Get Preference","Analysis Event","",""
"","357","Get Analysis Product Ids - Empty Fields","Assurdly | Government APIs","Wed Jun 11 18:51:25 GMT 2025","passed","Wed Jun 11 18:51:25 GMT 2025","Analysis Product Ids","Analysis Event","",""
"","355","Get Labels","Assurdly | Government APIs","Wed Jun 11 18:51:23 GMT 2025","passed","Wed Jun 11 18:51:23 GMT 2025","Analysis > Get Labels (for Frontend Field Display)","Analysis Event","",""
"","362","Set Preference","Assurdly | Government APIs","Wed Jun 11 18:51:15 GMT 2025","failed","Wed Jun 11 18:51:16 GMT 2025","Preference > Set UOM Preference","Home","",""
"","277","Notifications","Assurdly | Government APIs","Wed Jun 11 18:51:14 GMT 2025","failed","Wed Jun 11 18:51:14 GMT 2025","Notification","Home","",""
"","357","Total Events Count","Assurdly | Government APIs","Wed Jun 11 18:51:29 GMT 2025","passed","Wed Jun 11 18:51:29 GMT 2025","","Events Records","",""
"","507","Get Producer Activity  - No Auth","Assurdly | Government APIs","Wed Jun 11 18:51:18 GMT 2025","passed","Wed Jun 11 18:51:19 GMT 2025","","Participant Activity","",""
"","355","Dashboard Filter","Assurdly | Government APIs","Wed Jun 11 18:51:16 GMT 2025","failed","Wed Jun 11 18:51:16 GMT 2025","Stats","Dashboard","",""
"","362","Creating Analysis Event - Empty Fields","Assurdly | Government APIs","Wed Jun 11 18:51:27 GMT 2025","passed","Wed Jun 11 18:51:27 GMT 2025","Single Event","Analysis Event","",""
"","352","Set uom Preference - Empty Value","Assurdly | Government APIs","Wed Jun 11 18:51:16 GMT 2025","failed","Wed Jun 11 18:51:16 GMT 2025","Preference > Set UOM Preference","Home","",""
