"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","805","Login - Valid Credentials","Assurdly | Receiver API","Fri Jun 13 18:46:46 GMT 2025","passed","Fri Jun 13 18:46:47 GMT 2025","Login","Authentication","",""
"","139","Login - Invalid Credentials - Missing Password","Assurdly | Receiver API","Fri Jun 13 18:46:47 GMT 2025","failed","Fri Jun 13 18:46:47 GMT 2025","Login","Authentication","",""
"","253","Set uom Preference - Empty Value","Assurdly | Receiver API","Fri Jun 13 18:46:49 GMT 2025","failed","Fri Jun 13 18:46:49 GMT 2025","Preference","Home","",""
"","288","Notifications","Assurdly | Receiver API","Fri Jun 13 18:46:48 GMT 2025","failed","Fri Jun 13 18:46:48 GMT 2025","Notification","Home","",""
"","364","Single event -No auth","Assurdly | Receiver API","Fri Jun 13 18:47:01 GMT 2025","passed","Fri Jun 13 18:47:01 GMT 2025","Single Event","Receiving Event","",""
"","253","Get activity numbers","Assurdly | Receiver API","Fri Jun 13 18:47:01 GMT 2025","passed","Fri Jun 13 18:47:01 GMT 2025","Receiving > Get Activity Numbers","Receiving Event","",""
"","219","Login - Invalid Credentials - Wrong Username or Password","Assurdly | Receiver API","Fri Jun 13 18:46:47 GMT 2025","passed","Fri Jun 13 18:46:47 GMT 2025","Login","Authentication","",""
"","257","Get Labels - Case Sensitive Event Type","Assurdly | Receiver API","Fri Jun 13 18:46:59 GMT 2025","failed","Fri Jun 13 18:47:00 GMT 2025","Receiving > Get Labels","Receiving Event","",""
"","359","Get trading partner -No auth","Assurdly | Receiver API","Fri Jun 13 18:46:56 GMT 2025","passed","Fri Jun 13 18:46:56 GMT 2025","Receiving > Get Trading Partner","Receiving Event","",""
"","248","Set uom Preference","Assurdly | Receiver API","Fri Jun 13 18:46:49 GMT 2025","failed","Fri Jun 13 18:46:49 GMT 2025","Preference","Home","",""
"","251","Total Events Count - Empty Fields","Assurdly | Receiver API","Fri Jun 13 18:46:52 GMT 2025","failed","Fri Jun 13 18:46:52 GMT 2025","","Events Records","",""
"","253","Get sites","Assurdly | Receiver API","Fri Jun 13 18:46:55 GMT 2025","passed","Fri Jun 13 18:46:55 GMT 2025","Receiving > Get Sites","Receiving Event","",""
"","145","Tour Status","Assurdly | Receiver API","Fri Jun 13 18:46:48 GMT 2025","passed","Fri Jun 13 18:46:48 GMT 2025","Tour","Home","",""
"","256","Get Preference - Empty Fields","Assurdly | Receiver API","Fri Jun 13 18:46:58 GMT 2025","failed","Fri Jun 13 18:46:58 GMT 2025","Receiving > Get Preference","Receiving Event","",""
"","284","Get Product Instance - Invalid Request (missing or incomplete field)","Assurdly | Receiver API","Fri Jun 13 18:46:52 GMT 2025","failed","Fri Jun 13 18:46:53 GMT 2025","","Product Instances","",""
"","252","Get label","Assurdly | Receiver API","Fri Jun 13 18:46:58 GMT 2025","passed","Fri Jun 13 18:46:59 GMT 2025","Receiving > Get Labels","Receiving Event","",""
