"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","819","Login - Valid Credentials","Assurdly | Producer API","Fri Jun 13 18:50:32 GMT 2025","passed","Fri Jun 13 18:50:33 GMT 2025","Login","Authentication","",""
"","219","Get Share FQS","Assurdly | Producer API","Fri Jun 13 18:50:51 GMT 2025","failed","Fri Jun 13 18:50:51 GMT 2025","","FQS","",""
"","218","Get Product Instance Graph Invalid Field","Assurdly | Producer API","Fri Jun 13 18:50:44 GMT 2025","failed","Fri Jun 13 18:50:44 GMT 2025","","Product Instances","",""
"","218","Get Labels - Empty Fields","Assurdly | Producer API","Fri Jun 13 18:50:47 GMT 2025","failed","Fri Jun 13 18:50:48 GMT 2025","Analysis > Get Labels (for Frontend Field Display)","Analysis Event","",""
"","219","Get Labels - Case Sensitive Event Type","Assurdly | Producer API","Fri Jun 13 18:50:42 GMT 2025","failed","Fri Jun 13 18:50:42 GMT 2025","Transformation > Get Labels (for Frontend Field Display)","Transformation Event","",""
"","217","Get Labels - Empty Fields","Assurdly | Producer API","Fri Jun 13 18:50:41 GMT 2025","failed","Fri Jun 13 18:50:42 GMT 2025","Transformation > Get Labels (for Frontend Field Display)","Transformation Event","",""
"","213","Set uom Preference","Assurdly | Producer API","Fri Jun 13 18:50:35 GMT 2025","failed","Fri Jun 13 18:50:35 GMT 2025","Preference","Home","",""
"","216","Get Analysis Manufacturers - Empty Fields","Assurdly | Producer API","Fri Jun 13 18:50:48 GMT 2025","passed","Fri Jun 13 18:50:48 GMT 2025","Analysis Manufacturers","Analysis Event","",""
"","219","Get Analysis Manufacturers","Assurdly | Producer API","Fri Jun 13 18:50:49 GMT 2025","passed","Fri Jun 13 18:50:49 GMT 2025","Analysis Manufacturers","Analysis Event","",""
"","218","Get Company Type","Assurdly | Producer API","Fri Jun 13 18:50:42 GMT 2025","passed","Fri Jun 13 18:50:42 GMT 2025","Transformation > Get Company Type","Transformation Event","",""
"","298","Get Share FQS - No auth","Assurdly | Producer API","Fri Jun 13 18:50:52 GMT 2025","passed","Fri Jun 13 18:50:52 GMT 2025","","FQS","",""
"","222","Creating Analysis Event","Assurdly | Producer API","Fri Jun 13 18:50:50 GMT 2025","failed","Fri Jun 13 18:50:50 GMT 2025","Single Event","Analysis Event","",""
"","217","Get product brand category","Assurdly | Producer API","Fri Jun 13 18:50:42 GMT 2025","passed","Fri Jun 13 18:50:42 GMT 2025","Transformation > Get Product Brand Category","Transformation Event","",""
"","223","Read Notification - Invalid Notification id","Assurdly | Producer API","Fri Jun 13 18:50:34 GMT 2025","failed","Fri Jun 13 18:50:34 GMT 2025","Notification","Home","",""
"","224","Get Analysis Product Ids","Assurdly | Producer API","Fri Jun 13 18:50:48 GMT 2025","passed","Fri Jun 13 18:50:49 GMT 2025","Analysis Product Ids","Analysis Event","",""
"","212","Get manufacturers","Assurdly | Producer API","Fri Jun 13 18:50:43 GMT 2025","passed","Fri Jun 13 18:50:43 GMT 2025","Transformation > Get Manufacturer","Transformation Event","",""
"","300","Create Single Event - No Auth","Assurdly | Producer API","Fri Jun 13 18:50:43 GMT 2025","passed","Fri Jun 13 18:50:44 GMT 2025","Single Event","Transformation Event","",""
"","302","Get product brand category - No auth","Assurdly | Producer API","Fri Jun 13 18:50:42 GMT 2025","passed","Fri Jun 13 18:50:43 GMT 2025","Transformation > Get Product Brand Category","Transformation Event","",""
"","118","Login - Invalid Credentials - Missing Password","Assurdly | Producer API","Fri Jun 13 18:50:33 GMT 2025","failed","Fri Jun 13 18:50:33 GMT 2025","Login","Authentication","",""
