"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","295","Get FQS Invalid Field","Assurdly | Producer API","Sun Jun 15 20:11:31 GMT 2025","passed","Sun Jun 15 20:11:31 GMT 2025","","FQS","",""
"","213","Read Notification","Assurdly | Producer API","Sun Jun 15 20:11:14 GMT 2025","passed","Sun Jun 15 20:11:15 GMT 2025","Notification","Home","",""
"","207","Create Bulk Event","Assurdly | Producer API","Sun Jun 15 20:11:30 GMT 2025","failed","Sun Jun 15 20:11:31 GMT 2025","","Analysis Event","",""
"","216","Get Preference - Empty Fields","Assurdly | Producer API","Sun Jun 15 20:11:21 GMT 2025","failed","Sun Jun 15 20:11:21 GMT 2025","Transformation > Get Preference","Transformation Event","",""
"","208","Get Share FQS Invalid Field","Assurdly | Producer API","Sun Jun 15 20:11:32 GMT 2025","passed","Sun Jun 15 20:11:32 GMT 2025","","FQS","",""
"","708","Login - Valid Credentials","Assurdly | Producer API","Sun Jun 15 20:11:12 GMT 2025","passed","Sun Jun 15 20:11:13 GMT 2025","Login","Authentication","",""
"","214","Get Total Events Count Empty Field","Assurdly | Producer API","Sun Jun 15 20:11:26 GMT 2025","failed","Sun Jun 15 20:11:26 GMT 2025","","Events","",""
"","222","Participant Details","Assurdly | Producer API","Sun Jun 15 20:11:14 GMT 2025","passed","Sun Jun 15 20:11:14 GMT 2025","participant","Home","",""
"","1691","Get Dashboard Statistics","Assurdly | Producer API","Sun Jun 15 20:11:16 GMT 2025","passed","Sun Jun 15 20:11:17 GMT 2025","Overview > Stats","Dashboard","",""
"","290","Get Total Event","Assurdly | Producer API","Sun Jun 15 20:11:25 GMT 2025","passed","Sun Jun 15 20:11:25 GMT 2025","","Events","",""
"","265","Get Product Instance List","Assurdly | Producer API","Sun Jun 15 20:11:24 GMT 2025","passed","Sun Jun 15 20:11:24 GMT 2025","","Product Instances","",""
