"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","361","Get uom Preference","Assurdly | Producer API","Sun Apr 13 12:06:35 GMT 2025","failed","Sun Apr 13 12:06:35 GMT 2025","Preference","Home","",""
"","356","Get Tooltips","Assurdly | Producer API","Sun Apr 13 12:06:52 GMT 2025","passed","Sun Apr 13 12:06:52 GMT 2025","Analysis > Get Tooltips","Analysis Event","",""
"","355","Get Share FQS - No auth","Assurdly | Producer API","Sun Apr 13 12:06:59 GMT 2025","passed","Sun Apr 13 12:07:00 GMT 2025","","FQS","",""
"","366","Get Product Instance Graph","Assurdly | Producer API","Sun Apr 13 12:06:48 GMT 2025","failed","Sun Apr 13 12:06:49 GMT 2025","","Product Instances","",""
"","192","Login - Invalid Credentials - Missing Email","Assurdly | Producer API","Sun Apr 13 12:06:32 GMT 2025","passed","Sun Apr 13 12:06:32 GMT 2025","Login","Authentication","",""
"","1538","Get Dashboard Statistics Empty Field","Assurdly | Producer API","Sun Apr 13 12:06:38 GMT 2025","passed","Sun Apr 13 12:06:39 GMT 2025","Overview > Stats","Dashboard","",""
"","353","Get Company Type","Assurdly | Producer API","Sun Apr 13 12:06:54 GMT 2025","passed","Sun Apr 13 12:06:54 GMT 2025","Analysis > Get Company Type","Analysis Event","",""
"","356","Get Company Type","Assurdly | Producer API","Sun Apr 13 12:06:44 GMT 2025","passed","Sun Apr 13 12:06:45 GMT 2025","Transformation > Get Company Type","Transformation Event","",""
"","359","Creating Analysis Event - Invalid Fields","Assurdly | Producer API","Sun Apr 13 12:06:57 GMT 2025","passed","Sun Apr 13 12:06:57 GMT 2025","Single Event","Analysis Event","",""
"","350","Get manufacturers - No auth","Assurdly | Producer API","Sun Apr 13 12:06:46 GMT 2025","passed","Sun Apr 13 12:06:47 GMT 2025","Transformation > Get Manufacturer","Transformation Event","",""
"","353","Get Labels - Case Sensitive Event Type","Assurdly | Producer API","Sun Apr 13 12:06:53 GMT 2025","failed","Sun Apr 13 12:06:54 GMT 2025","Analysis > Get Labels (for Frontend Field Display)","Analysis Event","",""
"","353","Get Analysis Manufacturers","Assurdly | Producer API","Sun Apr 13 12:06:54 GMT 2025","passed","Sun Apr 13 12:06:54 GMT 2025","Analysis Manufacturers","Analysis Event","",""
"","360","Get Preference","Assurdly | Producer API","Sun Apr 13 12:06:42 GMT 2025","passed","Sun Apr 13 12:06:43 GMT 2025","Transformation > Get Preference","Transformation Event","",""
"","402","Get Dashboard Filter","Assurdly | Producer API","Sun Apr 13 12:06:39 GMT 2025","passed","Sun Apr 13 12:06:40 GMT 2025","Overview > Stats","Dashboard","",""
"","354","Get Analysis Manufacturers","Assurdly | Producer API","Sun Apr 13 12:06:55 GMT 2025","passed","Sun Apr 13 12:06:56 GMT 2025","Analysis Manufacturers","Analysis Event","",""
"","355","Get Preference - Get Labels -","Assurdly | Producer API","Sun Apr 13 12:06:52 GMT 2025","failed","Sun Apr 13 12:06:52 GMT 2025","Analysis > Get Preference","Analysis Event","",""
"","362","Creating Analysis Event","Assurdly | Producer API","Sun Apr 13 12:06:56 GMT 2025","failed","Sun Apr 13 12:06:57 GMT 2025","Single Event","Analysis Event","",""
"","361","Set uom Preference","Assurdly | Producer API","Sun Apr 13 12:06:35 GMT 2025","passed","Sun Apr 13 12:06:36 GMT 2025","Preference","Home","",""
"","266","Login - Invalid Credentials","Assurdly | Producer API","Sun Apr 13 12:06:32 GMT 2025","passed","Sun Apr 13 12:06:32 GMT 2025","Login","Authentication","",""
"","356","Get Preference - Empty Fields","Assurdly | Producer API","Sun Apr 13 12:06:51 GMT 2025","failed","Sun Apr 13 12:06:52 GMT 2025","Analysis > Get Preference","Analysis Event","",""
"","932","Login - Valid Credentials","Assurdly | Producer API","Sun Apr 13 12:06:31 GMT 2025","passed","Sun Apr 13 12:06:32 GMT 2025","Login","Authentication","",""
"","373","Participant Details","Assurdly | Producer API","Sun Apr 13 12:06:33 GMT 2025","passed","Sun Apr 13 12:06:33 GMT 2025","participant","Home","",""
"","441","Get Product Instance List","Assurdly | Producer API","Sun Apr 13 12:06:47 GMT 2025","passed","Sun Apr 13 12:06:48 GMT 2025","","Product Instances","",""
"","359","Get Share FQS","Assurdly | Producer API","Sun Apr 13 12:06:59 GMT 2025","failed","Sun Apr 13 12:06:59 GMT 2025","","FQS","",""
"","379","Get Product Shared Government Count Empty Field","Assurdly | Producer API","Sun Apr 13 12:06:40 GMT 2025","passed","Sun Apr 13 12:06:41 GMT 2025","","Shared With Government","",""
"","366","Get FQS Invalid Field","Assurdly | Producer API","Sun Apr 13 12:06:58 GMT 2025","failed","Sun Apr 13 12:06:59 GMT 2025","","FQS","",""
"","358","Get Labels","Assurdly | Producer API","Sun Apr 13 12:06:52 GMT 2025","passed","Sun Apr 13 12:06:53 GMT 2025","Analysis > Get Labels (for Frontend Field Display)","Analysis Event","",""
"","353","Get product brand category","Assurdly | Producer API","Sun Apr 13 12:06:45 GMT 2025","passed","Sun Apr 13 12:06:45 GMT 2025","Transformation > Get Product Brand Category","Transformation Event","",""
"","360","Creating Analysis Event - Empty Fields","Assurdly | Producer API","Sun Apr 13 12:06:57 GMT 2025","passed","Sun Apr 13 12:06:57 GMT 2025","Single Event","Analysis Event","",""
"","354","Get Tooltips","Assurdly | Producer API","Sun Apr 13 12:06:43 GMT 2025","passed","Sun Apr 13 12:06:43 GMT 2025","Transformation > Get Tooltips","Transformation Event","",""
"","548","Get Product Instance Shared Government","Assurdly | Producer API","Sun Apr 13 12:06:41 GMT 2025","passed","Sun Apr 13 12:06:41 GMT 2025","","Shared With Government","",""
